"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"soliloquium animae","W5319","A4319"
"breuis admonitio spiritualis exercitii","W5317","A4319"
"de eleuatione mentis","W5314","A4319"
"carmina","W5226","A4776"
"chrysis","W266","A4776"
"de duobus amantibus historia","W288","A4776"
"epistolae","W870","A4348"
"buccolicum carmen","W877","A4348"
"carmina","W880","A4348"
"epistulae","W2962","A4319"
"cantica","W3009","A4319"
"chronica montis sanctae agnetis","W3035","A4319"
"de imitatione christi","W3005","A4319"
"de paupertate humilitate et patientia","W3039","A4319"
"doctrinale iuuenum","W3036","A4319"
"epitaphium monachorum","W3033","A4319"
"libellus de recognitione propriae fragilitatis","W3003","A4319"
"paruum alphabetum monachi","W3002","A4319"
"sermones ad nouicios regulares","W3037","A4319"
"vallis liliorum","W3007","A4319"
"vita boni monachi","W3034","A4319"
"consolatio pauperum","W3045","A4319"
"de bona pacifica uita","W3018","A4319"
"de resurrectione orationes in duas partes sectae","W3014","A4319"
"dialogi nouiciorum","W3028","A4319"
"epistula ad quendam a ministerio suo absolutum de recommendatione solitudinis et custodia silentii","W3012","A4319"
"epistula ad quendam cellerarium","W3019","A4319"
"hortulus rosarum","W3042","A4319"
"hospitale pauperum","W3017","A4319"
"manuale paruulorum","W3040","A4319"
"meditatio de incarnatione christi","W3016","A4319"
"recommendatio humilitatis","W3029","A4319"
"sermones de uita et passione domini scilicet ab aduentu domini","W3013","A4319"
"sermones deuoti","W3020","A4319"
"vita lidewigis uirginis","W3043","A4319"
"translatio ionis a platone","W3486","A4355"
"commentarium in convivium platonis de amore","W3490","A4355"
"amatores","W3504","A4355"
"inter gravissimas","W3827","A5578"
"epistula ad georgium polycarpum de kostolan","W3865","A4288"
"commentarii rerum memorabilium","W3878","A4288"
"de viris illustribus","W5185","A4776"
"nero","W3885","A4723"
"lusus","W2501","A4691"
"de sui ipsius et multorum ignorantia","W1769","A4768"
"epystole sine nomine","W5392","A4768"
"genealogie deorum gentilium libri","W5248","A4348"
"ad famam","W131","A5553"
"utopia","W408","A4725"
"nicolai klimii iter subterraneum","W443","A4697"
"de montibus, silvis, fontibus, lacubus, fluminibus, stagnis seu paludibus, et de diversis nominibus maris","W856","A4348"
"de vita et moribus d. francisci petracchi","W852","A4348"
"de canaria","W865","A4348"
"de t. livio","W861","A4348"
"vita s.mi fratris petri damiani","W873","A4348"
"de mulieribus claris","W884","A4348"
"tractatus theologico-politicus","W1097","A4708"
"oratio vi","W1399","A5547"
"ad thamesin","W1516","A5559"
"eclogae","W1517","A4734"
"basia","W1609","A4717"
"contra medicum quendam","W1776","A4768"
"principia","W1744","A4713"
"epistulae","W1754","A4735"
"psalmi penitentiales","W1778","A4768"
"contra quendam magni status hominem","W1783","A4768"
"de otio religioso","W1795","A4768"
"liber de poetis","W1914","A4749"
"cafraria","W1948","A4704"
"libri xii aeneidos supplementum","W2291","A4750"
"de partu virginis","W2498","A4732"
"lamentatio de morte christi","W2475","A4732"
"eclogae","W2512","A4732"
"de dilectione regnantium","W2519","A4732"
"expositio in aristotelis de anima","W2449","A4663"
"elegie","W2541","A4732"
"de viris illustribus urbis romae","W2770","A4765"
"in viri praestantissimi isaaci newtoni opus","W3226","A4710"
"quaestiones supra librum [pseudo-]aristotelis de plantis","W3724","A4387"
"tractatus de multiplicatione specierum","W3732","A4387"
"de nihilo","W3945","A4759"
"quaestiones in aristotelis de anima","W5006","A4663"
"tractatus de intellectus emendatione","W5107","A4708"
"ethica","W5116","A4708"
"carmina","W1735","A4731"
"carmina","W4135","A4741"
"epystole extravagantes","W1773","A4768"
"epystolae familiares (testo gamma)","W5393","A4768"
"epigrammata","W719","A5552"
"hymni","W724","A5552"
"scacchia","W773","A5557"
"tertiae convivalis historiae disceptatio","W1274","A5554"
"epistula ad heinricum ingoldum argentinensem","W1278","A4743"
"facetiae","W1295","A5554"
"appendix xx ad erasmi epistularium: libri ab erasmo petiti","W1291","A4743"
"epistula ad ioannem botzhemum","W1301","A4743"
"erasmi primum testamentum","W1281","A4743"
"ratio seu compendium uerae theologiae per des. erasmum roterodamum","W1289","A4743"
"compendium uitae erasmi roterodami","W1299","A4743"
"epistulae duae ad gonellum","W1286","A4743"
"apologia","W1318","A4743"
"paraclesis","W1315","A4743"
"colloquia","W1313","A4743"
"collatio laureationis","W1779","A4768"
"de viris illustribus","W1775","A4768"
"africa","W1780","A4768"
"epystole familiares","W1813","A4768"
"epystole metrice","W1807","A4768"
"epystole seniles","W1791","A4768"
"contra eum qui maledixit italiam","W1808","A4768"
"de remediis utriusque fortune","W1782","A4768"
"de gestis cesaris","W1765","A4768"
"de vita solitaria","W1812","A4768"
"posteritati","W1781","A4768"
"secretum","W1789","A4768"
"arringhe","W1764","A4768"
"constitutum legis pisanae civitatis","W1785","A4768"
"collatio coram johanne rege","W1805","A4768"
"testamentum","W1787","A4768"
"carmina varia","W1809","A4768"
"ars memoriae","W1801","A4768"
"supplementum lucani","W2625","A4706"
"an principatus augusti merito inter felicioresreipublicae romanae aetates numeretur?","W2908","A4764"
"noua atlantis","W3238","A4711"
"historia regni henrici septimi","W3272","A4711"
"historia uitae et mortis","W3259","A4711"
"nouum organum","W3305","A4711"
"locustae","W3449","A4746"
"carmina","W3625","A5549"
"collatio inter scipionem, alexandrum, hanibalem et pyrrum","W5048","A4768"
"bucolicum carmen","W5045","A4768"
"meditationes","W5076","A4762"
"adagia: chilias prima","W1308","A4743"
"methodus","W1287","A4743"
"vita christophori","W2506","A4835"
"historia rerum in partibus transmarinis gestarum","W5360","A4689"
"proverbia","W5370","A4900"
"dialogus","W390","A4354"
"vita bonifatii","W1267","A4833"
"res gestae saxonicae","W1489","A4475"
"vita bernwardi episcopi hildsheimensis","W1880","A5536"
"vita godehardi episcopi hildsheimensis prior","W1860","A5536"
"facetiae","W1878","A4745"
"vita godehardi episcopi hildesheimensis posterior","W1889","A5536"
"de motu","W1938","A4716"
"de motu accelerato","W1994","A4716"
"iuuenilia","W1979","A4716"
"carmina","W2025","A4815"
"miracula sancti goaris","W2030","A4815"
"sidereus nuntius","W1981","A4716"
"lyricorum libri iv","W2042","A4703"
"liber epodon","W2074","A4703"
"pedantius","W2298","A4748"
"scolasticus - vita christophori","W2468","A4835"
"acta sanctorum martyrum","W2739","A4841"
"de nugis curialium","W2791","A3140"
"de controversia inter hildebrandum et heinricum","W2811","A4854"
"historia novella (1125-1142)","W2822","A4816"
"gesta regum anglorum (-1124)","W2810","A4816"
"gesta pontificum anglorum","W2849","A4816"
"ver erat","W3015","A4742"
"de dignitate et augmentis scientiarum","W3317","A4711"
"in orationem dominicam expositio","W3474","A5548"
"ad amicum excusatio quod amet","W3507","A5548"
"ioannis pici mirandulae vita","W3513","A5548"
"duodecim regulae, duodecim arma, duodecim conditiones amantis","W3498","A5548"
"approbatio hieronymi regulae monachorum 'pia nos excitat'","W3823","A5125"
"praefatio","W4151","A4751"
"argumentum aeneidos","W4153","A4751"
"vita sancti bernardi: liber i","W4383","A4454"
"versus ""dura libens tolerat""","W4419","A4900"
"versus ad mensam regis","W4424","A4900"
"gesta chuonradi","W4426","A4900"
"sequentia paschalis","W4456","A4900"
"tetralogus","W4461","A4900"
"adversus libellum de ente et uno. obiectiones et responsiones","W4955","A5548"
"de sizzugiis","W5005","A4835"
"vita sancti desiderii","W4993","A4841"
"in quintum novembris","W4992","A4771"
"speculum stultorum","W5113","A5528"
"approbatio hieronymi regulae monachorum 'et si cuncorum'","W3830","A5125"
"de imaginatione","W3494","A5548"
"epitomae","W5343","A4850"
"super euangelium iohannis reportatio","W7","A4997"
"carmina. appendix","W5229","A4856"
"super ii ad corinthios reportatio","W6","A4997"
"tabula aristotelis libri ethicorum","W5","A4997"
"catena aurea","W4","A4997"
"commentari in boethii de consolatione philosophiae","W3","A4997"
"vita albini (albani) andegavensis","W468","A4856"
"vita martini ep. turonensis","W467","A4856"
"de excidio thuringiae","W463","A4856"
"vita hilarii","W477","A4856"
"vita hilarii. liber de virtutibus hilarii","W455","A4856"
"vita paterni ep. abrincensis","W472","A4856"
"passio ss. mm. dionysii, rustici et eleutherii","W500","A4856"
"vita s. remigii, rhemensis episcopi","W497","A4856"
"carmina","W502","A4856"
"vita germani ep. parisiensis","W503","A4856"
"vita marcelli ep. parisiensis","W462","A4856"
"vita severini ep. burdigalensis","W513","A4856"
"vita s. leobini, carnotensis episcopi","W510","A4856"
"vita radegundis, liber i","W536","A4856"
"expositio fidei catholicae","W520","A4856"
"vita s. maurilii, andegavensis episcopi","W517","A4856"
"vita s. amantii, ruthenensis episcopi","W562","A4856"
"libellus de exordiis et incrementis quarundam in observationibus ecclesiasticis rerum","W1392","A4855"
"prologus in einhardi vitam karoli","W1397","A4855"
"vita galli","W1374","A4855"
"vita galli. prologus","W1379","A4855"
"epistola ad theodorum papam","W1414","A4803"
"carmina","W1405","A4855"
"extractio","W1894","A5574"
"de morali principis institutione","W2009","A4417"
"memoriale omnium temporum (-1244)","W2006","A4417"
"speculum historiale","W2013","A4417"
"speculum naturale  (1242-1250)","W2018","A4417"
"tomellus monachus sancti amandi, historia monasterii hasnoniensis (670-1070)","W2853","A4817"
"vita adalberonis episcopi augustani: praefatio","W3250","A4834"
"vita chounradi episcopi constantiensis","W3260","A4834"
"epistulae","W3549","A4850"
"opera","W3526","A4850"
"passio sancti leodegarii altera","W4105","A4272"
"carmina. appendix","W5085","A4855"
"vita otmari abbatis sangallensis","W5084","A4855"
"super euangelium matthaei reportatio","W5208","A4997"
"super i ad corinthios i–vii libri ii","W5215","A4997"
"sermo 'petite et accipietis'","W5205","A4997"
"expositio super isaiam ad litteram","W5212","A4997"
"super i ad corinthios xi–xvi reportatio","W23","A4997"
"miscellaneorum libri undecim","W524","A4856"
"vita s. medardi, noviomensis episcopi","W523","A4856"
"summae theologiae tertia pars","W42","A4997"
"super ad hebraeos reportatio","W40","A4997"
"super ad philemonem reportatio","W39","A4997"
"super ad philippenses reportatio","W38","A4997"
"super ad timotheum i reportatio","W37","A4997"
"super ad timotheum ii reportatio","W36","A4997"
"super ad titum reportatio","W35","A4997"
"in psalmos reportatio","W8","A4997"
"in salutationem angelicam reportatio","W26","A4997"
"responsio ad bernardum [ayglier] abbatem casinensem","W50","A4997"
"responsio ad lectorem bisuntinum de articulis 6","W49","A4997"
"responsio ad lectorem venetum de articulis 30","W24","A4997"
"responsio ad lectorem vercellensem de articulis 42","W47","A4997"
"sententia libri ethicorum","W46","A4997"
"sententia libri politicorum","W45","A4997"
"summae theologiae secunda secundae","W43","A4997"
"in iii sententiarum","W11","A4997"
"in iob","W10","A4997"
"in orationem dominicam reportatio","W9","A4997"
"quaestiones disputatae de uirtutibus","W52","A4997"
"quodlibeta i–xi","W76","A4997"
"quodlibetum xii (reportatio)","W75","A4997"
"responsio ad lectorem venetum de articulis 36","W74","A4997"
"responsio ad lectorem vercellensem de articulis 108","W48","A4997"
"summa contra gentiles","W73","A4997"
"summae theologiae prima secundae","W44","A4997"
"super ad colossenses reportatio","W71","A4997"
"super ad ephesios reportatio","W70","A4997"
"super ad galatas reportatio","W41","A4997"
"super ad thessalonicenses i reportatio","W69","A4997"
"super decretalem","W67","A4997"
"super ad thessalonicenses ii reportatio","W68","A4997"
"super epistulam ad romanos","W66","A4997"
"quaestiones disputatae de malo","W77","A4997"
"quaestiones disputatae de potentia","W54","A4997"
"quaestiones disputatae de ueritate","W53","A4997"
"reportationes ineditae leoninae","W51","A4997"
"summae theologiae prima pars","W72","A4997"
"in iv sententiarum","W5207","A4997"
"in librum boethii de trinitate","W5213","A4997"
"in librum de causis","W5217","A4997"
"in symbolum apostolorum reportatio","W5211","A4997"
"lectura romana in primum sententiarum petri lombardi","W5216","A4997"
"quaestiones disputatae de anima","W25","A4997"
"carmina","W613","A4980"
"carmina. appendix","W619","A4980"
"catena aurea in matthaeum","W62","A4997"
"catena aurea in marcum","W63","A4997"
"catena aurea in lucam","W64","A4997"
"catena aurea in iohannem","W88","A4997"
"de aeternitate mundi","W59","A4997"
"de forma absolutionis paenitentiae sacramentalis ad magistrum ordinis","W56","A4997"
"de iudiciis astrorum","W55","A4997"
"in aristotelis libros de generatione et corruptione","W80","A4997"
"in aristotelis libros posteriorum analyticorum","W79","A4997"
"in hieremiam","W78","A4997"
"contra errores graecorum","W61","A4997"
"contra impugnantes dei cultum et religionem","W60","A4997"
"de articulis fidei et ecclesiae sacramentis ad archiepiscopum panormitanum","W85","A4997"
"de duobus praeceptis caritatis reportatio","W84","A4997"
"de emptione et uenditione ad tempus","W58","A4997"
"de ente et essentia","W57","A4997"
"de mixtione elementorum","W83","A4997"
"de principiis naturae ad fratrem sylvestrum","W82","A4997"
"de substantiis separatis","W81","A4997"
"expositio super isaiam ad litteram","W109","A4997"
"in aristotelis libros de caelo et mundo","W106","A4997"
"in aristotelis libros metaphysicorum","W105","A4997"
"in aristotelis libros physicorum","W102","A4997"
"breue principium","W89","A4997"
"compendium theologiae","W87","A4997"
"contra doctrinam retrahentium a religione","W86","A4997"
"de rationibus fidei ad cantorem antiochenum","W135","A4997"
"de sortibus","W110","A4997"
"de unitate intellectus contra auerroistas","W134","A4997"
"in aristotelis de anima librum i reportatio","W108","A4997"
"in aristotelis libros de anima ii et iii","W107","A4997"
"in aristotelis libros meteorologicorum expositio","W104","A4997"
"in aristotelis libros peri hermeneias","W103","A4997"
"in aristotelis librum de memoria et reminiscentia","W133","A4997"
"in aristotelis librum de sensu et sensato","W101","A4997"
"in boethii de hebdomadibus","W100","A4997"
"in dionysii de diuinis nominibus","W99","A4997"
"in i sententiarum","W132","A4997"
"de motu cordis ad magistrum philippum de castro caeli","W114","A4997"
"de perfectione spiritualis uitae","W113","A4997"
"de regimine iudaeorum","W112","A4997"
"de regimine principum","W111","A4997"
"chronicon","W404","A5002"
"commemoratorium de apocalypsi iohannis apostoli a theodulpho auctum","W585","A4980"
"vita sancti willibrordi","W1608","A5004"
"flores epitaphii sanctorum","W1644","A5004"
"chronicon: recensio corbeiensis","W5169","A5002"
"de occultis operibus naturae","W5204","A4997"
"vita bernwardi episcopi hildesheimensis","W2419","A4952"
"ad theodoricum regem relatio episcoporum","W5307","A4781"
"synodo ecclesiasticae vir spectabilis anagnosticus regis","W5305","A4781"
"fragmenta","W162","A5208"
"varia dubiae auctoritatis scripta","W161","A5208"
"vita bavonis","W203","A4998"
"de mirabilibus mundi","W208","A4998"
"vita landradae belisiensis","W205","A4998"
"de fratre suo nummo","W233","A4998"
"de cane","W254","A4998"
"sermo de translatione trudonis et eucherii","W252","A4998"
"vita bauonis gandensis (uita tertia)","W258","A4998"
"vita trudonis hasbaniensis (uita secunda)","W248","A4998"
"quid suum uirtutis","W251","A4998"
"de turre athenis constructa","W275","A4998"
"excerpta solini","W250","A4998"
"vita rumoldi mechliniensis","W268","A4998"
"peregrinatio","W351","A4339"
"capitula 1-2","W596","A4980"
"liber in partibus donati","W1095","A4928"
"carmina","W1099","A4928"
"versus","W1105","A4928"
"statuta","W1534","A4780"
"epistola ad recaredum regem","W1940","A4784"
"gesta hludowici imperatoris","W2003","A4679"
"ex miraculis s. celsi","W2446","A4977"
"ex translatione s. celsi","W2453","A4977"
"praeceptio missa per germanum et carosum episcopum","W2658","A4781"
"praeceptio altera missa ad synodum","W2677","A4781"
"praeceptio quarta","W2665","A4781"
"praeceptio tertia","W2696","A4781"
"sermones","W2909","A4955"
"de visione taionis episcopus","W3568","A4805"
"epistolae","W3602","A4805"
"sententiarum libri quinque","W3609","A4805"
"epistula ad eugenium","W3590","A4805"
"physiologus","W3711","A4922"
"miracula sancti maximini","W3866","A4917"
"aenigmata","W4066","A4942"
"sequentia de sancto vincentio ii (dub.)","W4207","A4640"
"vita altera sigeberti iii, regis francorum (dub.)","W4182","A4640"
"sigebertus gemblacensis (dub.)","W4220","A4640"
"sequentia de sancto vincentio i (dub.)","W4200","A4640"
"vita sigeberti iii, regis francorum (dub.)","W4214","A4640"
"sequentia de sancta lucia (dub.)","W4229","A4640"
"vita et passio sancti desideri","W4505","A4958"
"epistola","W4916","A4958"
"ars grammatica","W4933","A4942"
"vita ludovici vi regis francorum","W5167","A4925"
"canon vel constitutio 'qualiter ecclesiastici gradus custodiantur'","W5196","A5208"
"epistula de passione luciae syracusanae","W4259","A4640"
"auctarium sancti iudoci (795. 840)","W4180","A4640"
"auctarium gemblacense (465-1148)","W4183","A4640"
"continuatio atrebatensis (1114-1127)","W4209","A4640"
"continuatio tornacensis (1114-1172. 1332-1334)","W4205","A4640"
"continuatio valcellensis (1114-1163)","W4181","A4640"
"chronica","W4212","A4640"
"vita quinta lamberti leodiensis","W4213","A4640"
"auctarium affligemense (597-1163)","W4221","A4640"
"auctarium bellovacense (649-1163)","W4201","A4640"
"auctarium corbeiense (419-885)","W4208","A4640"
"auctarium hasnoniense (610-1149)","W4215","A4640"
"auctarium laudunense (928-1145)","W4226","A4640"
"auctarium nicolai ambianensis (424-1203)","W4204","A4640"
"auctarium ursicampinum (382-1154)","W4223","A4640"
"continuatio aquicinctina (1149-1237)","W4202","A4640"
"continuatio burburgense (1114-1164)","W4216","A4640"
"continuatio praemonstratensis (1113-1155)","W4197","A4640"
"passio metrica luciae syracusanae","W4238","A4640"
"passio sanctorum thebaeorum, mauritii, exuperii et sociorum","W4218","A4640"
"vita quinta lamberti","W4237","A4640"
"hymnus de sancto uincentio (dub.)","W4240","A4640"
"auctarium aquicinense (651-1168)","W4230","A4640"
"auctarium mortui-maris (1054-1234)","W4232","A4640"
"continuatio anselmi abbatis (1112-1135)","W4231","A4640"
"continuatio gemblacensis (1136-1148)","W4227","A4640"
"epistula leodicensium aduersus pascalem papam","W4235","A4640"
"epistulae de ieiuniis quattuor temporum","W4242","A4640"
"gesta abbatum gemblacensium","W4270","A4640"
"liber decennalis","W4262","A4640"
"vita maclouii alectensis","W4261","A4640"
"apologia","W4260","A4640"
"chronographia (381-1111)","W4236","A4640"
"vita deoderici i. episcopi mettensis","W4243","A4640"
"hymnus de sancta lucia i (dub.)","W4257","A4640"
"hymnus de sancta lucia ii (dub.)","W4264","A4640"
"commentarium in ecclesiasten","W4272","A4640"
"epistula cuiusdam aduersus laicorum in presbyteros coniugatos contumeliam","W4248","A4640"
"liber de uiris illustribus","W4255","A4640"
"vita deoderici mettensis","W4250","A4640"
"vita theodardi traiectensis","W4275","A4640"
"vita wicberti gemblacensis","W4249","A4640"
"vita landiberti ep. traiectensis","W4271","A4640"
"auctarium sithiense (640-820)","W4927","A4640"
"continuatio bergensis (1201-1237)","W4926","A4640"
"lectiones de wicberto gemblacensi","W4280","A4640"
"sermo de translationibus luciae syracusanae","W4278","A4640"
"vita wicberti","W4282","A4640"
"liber de laesione uirginitatis","W3468","A4976"
"sermo de pantaleone","W3465","A4976"
"collectaneum in apostolum","W1368","A4939"
"passio eliphii tullensis","W5335","A4976"
"de quattuor subtilibus tentationibus","W5306","A4218"
"regnum deum amantium","W5308","A4218"
"gesta danorum","W639","A4930"
"carmina","W1390","A4939"
"collectaneum miscellaneum","W1402","A4939"
"de graeca","W1407","A4939"
"in argumentum pseudo-hieronymi in decem canones","W1429","A4939"
"in donati artem maiorem","W1411","A4939"
"in epistulam eusebii ad carpianum in decem canones","W1450","A4939"
"in euangelium matthaei","W1426","A4939"
"in eutychem","W1409","A4939"
"subscriptio psalterii (codex parisianus, arsenal 8407)","W1424","A4939"
"commentum sedulii turicense (id est: in eutychem)","W1408","A4939"
"epistula de psalterio in linguam latinam transferendo","W1437","A4939"
"in argumentum euangelii secundum marcum","W1452","A4939"
"in argumentum euangelii secundum matthaeum","W1457","A4939"
"in epistulam hieronymi ad damasum papam","W1455","A4939"
"liber de rectoribus christianis","W1454","A4939"
"commentaria in tabernaculum foederis","W2655","A4218"
"de calculo seu perfectione filiorum dei","W2660","A4218"
"de septem gradibus","W2657","A4218"
"epistulae","W2695","A4218"
"speculum aeternae salutis","W2659","A4218"
"ornatus spiritualis desponsationis, secundum translationem quam fecit gerardus magnus","W2700","A4218"
"ornatus spiritualis desponsationis, secundum translationem quam fecit wilehelmus iordani","W2676","A4218"
"de fide et iudicio","W2668","A4218"
"de ornatu spiritalium nuptiarum, secundum translationem quam vulgavit laurentius surius","W2697","A4218"
"de septem custodiis","W2679","A4218"
"de uera contemplatione","W2664","A4218"
"samuel siue apologia","W2701","A4218"
"liber rodberti abbatis de apologeticis suis","W3430","A4976"
"liber apologeticorum de uoluntate dei","W3451","A4976"
"liber de omnipotentia dei","W3422","A4976"
"vita heriberti coloniensis","W3418","A4976"
"dialogus quae sit uita uere apostolica (dub.)","W3425","A4976"
"carmina de calamitatibus ecclesiae leodiensis (dub.)","W3434","A4976"
"commentarius in iob (dub.)","W3455","A4976"
"liber de diuinis officiis","W3460","A4976"
"quaestio utrum monachis liceat praedicare","W3457","A4976"
"liber de scriptoribus ecclesiasticis","W4241","A4640"
"de breuiariorum et capitulorum canonumque differentia et connexione","W5089","A4939"
"in argumentum euangelii secundum lucam","W1447","A4939"
"in donati artem minorem","W1445","A4939"
"in priscianum","W1442","A4939"
"in prologum quattuor euangeliorum","W1448","A4939"
"vita reginardi episcopi leodiensis","W5051","A4949"
"historiae","W3792","A4328"
"epistola de secretis operibus artis et naturae, etc.","W3730","A4387"
"commentaria in duodecim prophetas minores","W3467","A4976"
"de glorificatione trinitatis et processione spiritus sancti","W3464","A4976"
"vita anscharii hammaburgensis","W2821","A4201"
"quaestiones de diuina pagina","W1135","A4956"
"anulus siue dialogus inter christianum et iudaeum","W5338","A4976"
"conflictus ruperti coloniensis abbatis cum norberto","W5337","A4976"
"de ineptiis cuiusdam idiotae ad amicum libelli iii","W5279","A4949"
"capitula","W442","A4913"
"quaestiones de epistolis pauli","W1117","A4956"
"libellus de adventu reliquiarum sancti laurentii (a. 1056)","W1766","A4949"
"triumphale bulonicum a. 1141 (1129-1153)","W1770","A4949"
"libellus actionis gratiarum ad sanctum laurentium super dedicatione nova","W1792","A4949"
"vita everacli episcopi leodiensis","W1810","A4949"
"vita wolbodonis episcopi leodiensis","W1818","A4949"
"chronica  (801-1201)","W1844","A4943"
"chronica: continuatio (1202-1225)","W1817","A4943"
"philobiblon","W2053","A4650"
"gesta ecclesiae senoniensis","W2891","A4947"
"vita leobae abbatissae biscofesheimensis","W2966","A4923"
"miracula sanctorum in ecclesias fuldenses tranlatorum","W2972","A4923"
"commentarium in apocalypsim iohannis apostoli","W3428","A4976"
"de meditatione mortis","W3424","A4976"
"de sancta trinitate et operibus eius","W3433","A4976"
"commentaria in euangelium sancti iohannis","W3421","A4976"
"de uictoria uerbi dei","W3454","A4976"
"commentaria in canticum canticorum","W3459","A4976"
"de gloria et honore filii hominis super matthaeum","W3456","A4976"
"de incendio tuitiensi","W3446","A4976"
"epistula ad euerhardum abbatem brunwilrensem","W3463","A4976"
"epistula ad f.","W3470","A4976"
"hymnus primus de sancto spiritu","W3478","A4976"
"hymnus secundus siue oratio ad sanctum spiritum","W3485","A4976"
"compendium studii philosophiae","W3752","A4387"
"de contemplatione","W3871","A4929"
"de trinitate","W3851","A4929"
"de duodecim patriarchis siue beniamin minor","W3880","A4929"
"commentum einsidlense in donati artem minorem","W4239","A4959"
"commentum einsidlense in donati barbarismum","W4219","A4959"
"commentum einsidlense in donati artem maiorem","W4263","A4959"
"expositio super genesim","W4256","A4959"
"expositione in paschale carmen","W4251","A4959"
"de casu fulminis a. 1182","W5047","A4949"
"sententiae","W5109","A4956"
"commentarius in prisciani de nomine","W4281","A4959"
"epistulae iii remigio autissiodorensi attributae","W4279","A4959"
"epistulae ad ragimboldum coloniensem","W4999","A4686"
"de otioso sermone","W4125","A4951"
"exhortatio et preces","W4123","A4951"
"pauca de uita sancti donatiani","W4149","A4951"
"phrenesis","W4126","A4951"
"sermo de redemptore (id est: sermo monacensis e codd. clm 6340 et clm 6426 editus)","W4124","A4951"
"diplomata","W4122","A4951"
"epistulae ad radolfum leodiensem","W1867","A4924"
"speculum uniuersale","W2428","A5531"
"uersus de hirundine","W2890","A4879"
"officium de translatione martini turonensis","W2918","A4879"
"oratio ad martinum turonensem","W2926","A4879"
"sermo de swiberto","W2911","A4879"
"tomellus siue sermo de uita amalbergae uirginis","W2919","A4879"
"sequentia in translatione martini","W2933","A4879"
"sermo de seruatio traiectensi","W2937","A4879"
"obitus beatissimi isidori hispalensis episcopi","W2982","A4269"
"historia francorum qui ceperunt ierusalem.","W3051","A4914"
"gesta friderici i imperatoris","W3578","A4933"
"notae et glossae autographicae: cruces ad 'collectionem dionysio-hadrianam' (vat. lat. 4979)","W4120","A4951"
"de contemptu canonum","W4177","A4951"
"de proprio lapsu","W4154","A4951"
"dialogus confessionalis","W4165","A4951"
"epistulae","W4145","A4951"
"inuectiua de translatione metronis","W4162","A4951"
"liber apologeticus","W4142","A4951"
"notae et glossae autographicae: notae ad viii-um concilium oecumenicum","W4159","A4951"
"planctus, decreta, iudicatum et testamentum","W4157","A4951"
"praeloquia","W4166","A4951"
"sermo contra reprehensores","W4146","A4951"
"sermones liturgici","W4152","A4951"
"sermones monacenses","W4161","A4951"
"vita ursmari lobiensis (uita secunda)","W4144","A4951"
"epistulae dubiae","W4158","A4951"
"casus sancti galli","W4114","A4921"
"conclusio deliberatiua","W4168","A4951"
"discordia","W4175","A4951"
"fragmenta nuper reperta","W4190","A4951"
"itinerarium","W4172","A4951"
"notae et glossae autographicae: notabilia ad martianum capellam","W4187","A4951"
"notae et glossae autographicae: notae autographicae in ms. trier stadtbibliothek 149/1195 8°","W4169","A4951"
"oratio","W4178","A4951"
"qualitatis coniectura","W4176","A4951"
"synodica","W4171","A4951"
"carmina dubia","W4185","A4951"
"epistolae","W4167","A4951"
"vita metrica sancti anselmi lucensis episcopi","W4454","A4941"
"vita bonifatii moguntini (uita secunda)","W4987","A4879"
"de nuptu cuiusdam illicito","W4148","A4951"
"testamentum","W1441","A4766"
"ecloga de uirtutibus lebuini presbyteri","W2971","A4879"
"metrum anapaesticum de miraculo martini turonensis","W2944","A4879"
"annales bertiniani. pars ii.","W5328","A4907"
"carta restaurationis capituli sancti stephani","W5344","A5532"
"commentarium in psalmos","W136","A4994"
"collectanea in omnes pauli apostoli epistulas","W137","A4994"
"tractatus de processione filii et spiritus sancti","W163","A4994"
"scolastica historia: liber genesis","W181","A4995"
"tractatus de incarnatione","W179","A4994"
"de corpore christi","W214","A4994"
"tractatus de coniugio","W180","A4994"
"sententiae in iv libris distinctae","W223","A4994"
"carmina","W1240","A5020"
"epistulae clxxx","W1244","A5020"
"vita sancti odilonis","W1238","A5020"
"preces","W1251","A5020"
"carmina (dub.)","W1275","A5020"
"expositio visionum sanctorum martyrum mariani et iacobi (dub.)","W1283","A5020"
"preces (dub.)","W1309","A5020"
"vita sancti romualdi","W1322","A5020"
"rhythmus de sanctissima virgine ('quis est hic qui pulsat') (dub.)","W1319","A5020"
"de rerum naturis sive de universo","W1538","A5071"
"de incarnatione gratis","W2110","A4601"
"notae litterarum more vetusto","W2113","A4601"
"de locis santis","W2137","A4601"
"epistulae ii ad ildefonsum toletanum","W2707","A4241"
"carmina","W2896","A4879"
"libellus de miraculo sancti martini turonensi","W2914","A4879"
"nota de a. 900, epitaphium, versus","W2923","A4879"
"breue chronicon et epitaphium de uiatico christi","W2939","A4879"
"carmen allegoricum de swiberto","W2964","A4879"
"homilia de lebuino presbytero","W2948","A4879"
"epigramma de poscenda peccatorum remissione","W2983","A4879"
"libellus de miraculo martini turonensis","W2958","A4879"
"aduersus iudaeorum inueteratam duritiem","W3209","A4986"
"contra petrobrusianos haereticos","W3217","A4986"
"epistulae","W3194","A4986"
"catalogus alter episcoporum vesuntionensis ecclesiae","W3701","A5532"
"catalogus episcoporum sanctae bisunticensis ecclesiae","W3706","A5532"
"liturgia","W3739","A5532"
