Title,DLL Identifier,VIAF Source
"Priscillian, Bishop of Avila, approximately 350-385",A2917,http://viaf.org/viaf/262286966
Procilius,A2904,http://viaf.org/viaf/61941716
"Feofan, Archbishop of Novgorod, 1681-1736",A2903,http://viaf.org/viaf/44386110
"Sabinus, Masurius",A2916,http://viaf.org/viaf/62344938
"Saturninus, Julius",A2902,http://viaf.org/viaf/305392505
Suetonius Paulinus,A2915,http://viaf.org/viaf/15160167
Sulpicius Blitho,A2900,http://viaf.org/viaf/305392520
"Vestalis, Fabius",A2925,http://viaf.org/viaf/305392542
"Lepidus, Marcus Aemilius, -13 B.C.",A2913,http://viaf.org/viaf/11492581
"Antoninus Pius, Emperor of Rome, 86-161",A2911,http://viaf.org/viaf/282104028
"Domitius Afer, -59",A2909,http://viaf.org/viaf/289274890
"Valens, Gaius Aburnius, 109",A2908,http://viaf.org/viaf/47153285
"Nerva, Emperor of Rome, approximately 30-98",A2906,http://viaf.org/viaf/69725573
Eustachius de Matera c. 1268/70,A2949,http://viaf.org/viaf/15161145
"Fedele, Cassandra, 1465?-1558",A2948,http://viaf.org/viaf/55055760
"Filelfo, Giovanni Mario, 1426-1480",A2943,http://viaf.org/viaf/9926370
"Gallo, Egidio",A2941,http://viaf.org/viaf/49368553
"Gaurico, Pomponio, 1481 or 1482-1528",A2947,http://viaf.org/viaf/110685223
Gioanni Hercolani de' Sarti,A2939,http://viaf.org/viaf/148151302943048661912
"Mazzoni, R. Francisco",A2955,http://viaf.org/viaf/73540454
"Nogarola, Isotta, 1418-1466",A2953,http://viaf.org/viaf/23974210
"Pigna, Giovan Battista, 1529-1575",A2952,http://viaf.org/viaf/9918334
"Sbrulius, Richardus, 1480-",A2938,http://viaf.org/viaf/57544463
"Seneca, Tommaso, approximately 1390-1472",A2922,http://viaf.org/viaf/29961004
"Serarrighi, Cristofano",A2937,http://viaf.org/viaf/27890015
"Uberti, Francesco ca. ca. 1440-1518",A2921,http://viaf.org/viaf/186818326
"Valeriano, Pierio, 1477-1560",A2935,http://viaf.org/viaf/24739026
"Zamberti, Bartolomeo, active 1500",A2950,http://viaf.org/viaf/51705814
"Agrippina, Minor, 15-59",A2920,http://viaf.org/viaf/87873347
"Fulvius Nobilior, Marcus, approximately 230 B.C.-",A2930,http://viaf.org/viaf/107148703965636930010
"Maeonius Astyanax, 3rd Century A.D.",A2919,http://viaf.org/viaf/250876211
"Modestinus, Poeta, 5th or 6th Century A.D.",A2928,http://viaf.org/viaf/39766961
"Posthius, Johannes, 1537-1597",A2918,http://viaf.org/viaf/22286869
"Ferreri, Zaccaria, approximately 1479-1524",A2944,http://viaf.org/viaf/100181254
"Folengo, Nicodemo, approximately 1454-",A2942,http://viaf.org/viaf/29698102
Francesco Cardulo,A2960,http://viaf.org/viaf/32348783
"Geraldini, Alessandro, 1455-1525",A2940,http://viaf.org/viaf/20485717
Giorgio Cichino,A2972,http://viaf.org/viaf/81045718
"Malatesta, Sigismondo Pandolfo, signore di Rimini, 1417-1468",A2957,http://viaf.org/viaf/50021300
"Marzio, Galeotto, 1427-1497",A2976,http://viaf.org/viaf/5362623
"Maurisio, Gerardo, 1173-",A2956,http://viaf.org/viaf/89291424
"Molza, Tarquinia, 1542-1617",A2974,http://viaf.org/viaf/17157231
"Muzio, Girolamo, 1496-1576",A2954,http://viaf.org/viaf/61649387
"Phantino, Pier S.",A2970,http://viaf.org/viaf/89268726
"Zenobi, da Strada, 1312-1361",A2946,http://viaf.org/viaf/34445245
"Vespasian, Emperor of Rome, 9-79",A2945,http://viaf.org/viaf/96539514
"Altilio, Gabriele, 1436-1501",A2967,http://viaf.org/viaf/19636924
"Amoretti Angulo, Andrea Lucía",A2971,http://viaf.org/viaf/13150868189022071224
Antonio Baratella,A2975,http://viaf.org/viaf/260507643
"Aurispa, Giovanni, approximately 1376-1459",A2963,http://viaf.org/viaf/100166736
"Barbato, Marco, -1363",A2973,http://viaf.org/viaf/34378929
"Bembo, Bonifacio",A2961,http://viaf.org/viaf/273367952
"Berni, Francesco, 1497 or 1498-1535",A2969,http://viaf.org/viaf/36959897
"Sisbertus Toletanus, c. 7th century A.D.",A2995,http://viaf.org/viaf/59492406
"Andronicus Callistus, -1478",A2978,http://viaf.org/viaf/316400439
Angela Nogarola c. 15. C.,A2966,http://viaf.org/viaf/76722457
"Angèli, Pietro, 1517-1596",A2965,http://viaf.org/viaf/56728831
"Anichini, Gerardo, active 1399",A2996,http://viaf.org/viaf/73577799
"Augurelli, Giovanni Aurelio, approximately 1456-1524?",A2964,http://viaf.org/viaf/88062391
"Barignani, Fabio, 1532-1584",A2982,http://viaf.org/viaf/32127844
"Bartolomeo, fra, 1472-1517",A2962,http://viaf.org/viaf/89128949
"Calderino, Domizio, 1447-1478",A2993,http://viaf.org/viaf/61663797
"Dall'Isola, Matteo, active 15th century-16th century",A2994,http://viaf.org/viaf/27302304
"Giovanni del Virgilio, active 1319",A2981,http://viaf.org/viaf/24956851
Girolamo d'Este 1450-1530,A2959,http://viaf.org/viaf/88079214
"Gravina, Pietro, 1749-1830",A2958,http://viaf.org/viaf/49659909
"Lapi, Angelo Emilio, approximately 1769-1852",A2979,http://viaf.org/viaf/29801351
"Marsi, Paolo, 1440-1484",A2997,http://viaf.org/viaf/22492014
"Mauri, Francesco 1500-1571",A2985,http://viaf.org/viaf/64349456
"Mombrizio, Bonino, 1424?-1482?",A2983,http://viaf.org/viaf/19762519
"Pietro Odo da Montopoli, approximately 1425-1463?",A2980,http://viaf.org/viaf/89658605
"Ranieri, Antonio, 1806?-1888",A2977,http://viaf.org/viaf/41882223
"Rota, Berardino, 1508-1575",A2968,http://viaf.org/viaf/89420002
Cornelio Paolo Amalteo,A2989,http://viaf.org/viaf/89225702
"Griffoni, Matteo, 1351-1426",A2999,http://viaf.org/viaf/49660359
"Lenzi, Lorenzo, 1517?-1571",A2987,http://viaf.org/viaf/48032693
"Marsuppini, Carlo, 1398-1453",A3006,http://viaf.org/viaf/5165087
"Moggi, Moggio, active 14th century",A3004,http://viaf.org/viaf/79162826
"Paolini, Alessandro",A3001,http://viaf.org/viaf/30938821
"Pietro, da Moglio",A2988,http://viaf.org/viaf/17063054
"Quatrario, Giovanni, 1336-1402",A2998,http://viaf.org/viaf/64169519
"Rolandello, Francesco, 1427-1490",A2986,http://viaf.org/viaf/125074486
"Aldegati , Marcantonio",A3010,http://viaf.org/viaf/289118227
"Alighieri, Pietro, -1364",A2992,http://viaf.org/viaf/37043843
"Spartianus, Aelius",A3016,http://viaf.org/viaf/14759878
"Vopiscus, Flavius",A2990,http://viaf.org/viaf/95221497
"Amaseo, Girolamo 1467-1517",A3002,http://viaf.org/viaf/28265078
"Armonio, Giovanni, approximately 1477-approximately 1552",A2984,http://viaf.org/viaf/49241219
"Barbaro, Ermolao, 1454-1493",A3003,http://viaf.org/viaf/54942062
Benintendus de Ravagnanis 1317-1365,A3000,http://viaf.org/viaf/263991193
Bonaventura da Bagnoregio,A3009,http://viaf.org/viaf/286310242
"Cancianini, Gian Domenico 1547-1630",A3017,http://viaf.org/viaf/180488070
"Carrara, Giovanni Michele Alberto, 1438-1490",A2991,http://viaf.org/viaf/53051995
"Beccadelli, Antonio, 1394-1471",A3024,http://viaf.org/viaf/17217928
"Epicuro, Marcantonio, 1472-1555",A3012,http://viaf.org/viaf/19835628
"Filelfo, Francesco, 1398-1481",A3020,http://viaf.org/viaf/5000255
"Sulpicia, active 1st century B.C.",A3028,http://viaf.org/viaf/67269869
Pentadius,A3026,http://viaf.org/viaf/33574309
"Chintila, King of the Visigoths, -640",A3022,http://viaf.org/viaf/57002398
"Aethelbald Mercia, -757",A3031,http://viaf.org/viaf/67569125
"Anselmi, Giorgio, 1722-1797",A3005,http://viaf.org/viaf/95831569
"Bonaiuto, da Casentino, -1312?",A3014,http://viaf.org/viaf/14150686454912540583
"Bonincontri, Lorenzo, 1410-1491",A3023,http://viaf.org/viaf/169864726
"Buonaccorsi, Filippo, 1437-1496",A3011,http://viaf.org/viaf/46768955
"Calcagnini, Celio, 1479-1541",A3019,http://viaf.org/viaf/76366882
"Cavalchini, Rinaldo",A3027,http://viaf.org/viaf/78700642
"Collenuccio, Pandolfo, 1444-1504",A3015,http://viaf.org/viaf/34673342
"Cortesi, Tommaso Alessandro",A3025,http://viaf.org/viaf/32810540
Crispus Mediolanensis c. 14. C.,A3013,http://viaf.org/viaf/71784437
"Crivellone, -approximately 1730",A3021,http://viaf.org/viaf/79536023
"Decembrio, Pier Candido, 1399-1477",A3030,http://viaf.org/viaf/7483748
"Guarini, Girolamo, 1421-1460",A3008,http://viaf.org/viaf/4681820
"Ramusio, Giovanni Battista, 1485-1557",A3007,http://viaf.org/viaf/68943129
"Crinito, Pietro, 1465-approximately 1504",A3034,http://viaf.org/viaf/100217442
"Di Meletto Rossi, Checco, 1320-1363",A3018,http://viaf.org/viaf/186512281
Vespa 2nd/4. century,A3054,http://viaf.org/viaf/66817737
Thomas of Celano 1190-1260,A3076,http://viaf.org/viaf/67706132
Hosidius Geta ca. 2nd century,A3051,http://viaf.org/viaf/69721521
Lollius Urbicus ca. 3rd century,A3057,http://viaf.org/viaf/250904798
Thomas Monumetensis ca. 1170,A3077,http://viaf.org/viaf/292379778
Acholius,A3052,http://viaf.org/viaf/305392494
Septimius,A3074,http://viaf.org/viaf/305392511
Lindinus Poeta 5th or 5th/6th century,A3055,http://viaf.org/viaf/305392621
Pardulus Laudunensis,A3053,http://viaf.org/viaf/316488822
"Merula, Giorgio, -1494",A3056,http://viaf.org/viaf/76466284
"Cantalicio, Giovanni Battista, -1515",A3033,http://viaf.org/viaf/100180593
"Foglietta, Uberto, 1518-1581",A3050,http://viaf.org/viaf/34557083
"Gambara, Lorenzo, approximately 1495-1585",A3073,http://viaf.org/viaf/44396441
"Tiberianus, c. 4th century A.D.",A3035,http://viaf.org/viaf/13106750
"Bologni, Girolamo, 1454-1517",A3036,http://viaf.org/viaf/315938616
"Bonvesin, da la Riva, approximately 1250-1314?",A3032,http://viaf.org/viaf/205267452
"Campano, Giannantonio, Bishop, 1429-1477",A3029,http://viaf.org/viaf/68979356
"Cavallo, Filippo",A3037,http://viaf.org/viaf/1489145857047422921327
Drepanius Florus 5th century,A3094,http://viaf.org/viaf/398820
"Aelius Paetus Catus, Sextus 2nd century?",A3093,http://viaf.org/viaf/22527549
Abbo Metensis ca. 627 - 643,A3060,http://viaf.org/viaf/71750055
Aelius Maurus ca. 2nd/3rd century,A3089,http://viaf.org/viaf/173499096
Caelestinus,A3047,http://viaf.org/viaf/187551705
"Endelechius, Severus Sanctus ca. 4./5th century",A3070,http://viaf.org/viaf/291300320
Octavianus,A3044,http://viaf.org/viaf/305392493
Gaius Sempronius Tuditanus,A3066,http://viaf.org/viaf/305392510
Aurelius Romulus,A3048,http://viaf.org/viaf/305392562
Gaius Drusus,A3045,http://viaf.org/viaf/305392594
Mavortius,A3068,http://viaf.org/viaf/305392629
"Actorius Naso, Marcus",A3043,http://viaf.org/viaf/315536848
