Title,DLL Identifier,VIAF Source
"Christ, Wilhelm von, 1831-1906",A3552,https://viaf.org/viaf/46884378
"Clark, Charles Upson, 1875-1960",A3561,https://viaf.org/viaf/67219130
"Diels, Hermann, 1848-1922",A3531,https://viaf.org/viaf/36987838
"Dinter, Bernard",A3523,https://viaf.org/viaf/22526224
"Endt, Johannes",A3549,https://viaf.org/viaf/89021650
"Eutocius, of Ascalon",A3538,https://viaf.org/viaf/268702803
Clodianus Grammaticus,A3526,https://viaf.org/viaf/2857704
"Jeep, Justus Wilhelm Linde, 1799-1884",A3518,https://viaf.org/viaf/3239497
"Keil, Heinrich, 1822-1894",A3509,https://viaf.org/viaf/2604826
"Rufinus, Antiochensis",A3517,http://viaf.org/viaf/76663998
"Luterbacher, Franz, 1850-1924",A3516,https://viaf.org/viaf/40152881
Fabius Dossennus,A3569,https://viaf.org/viaf/73747844
"Capito, C. Ateius, -22",A3568,https://viaf.org/viaf/12200582
"Trebatius Testa, C. (Caius), active 1st century B.C.",A3574,https://viaf.org/viaf/15575546
"Juventius, active 2nd century B.C.",A3570,https://viaf.org/viaf/19571357
"Paullus, Lucius Aemilius, approximately 229 B.C.-160 B.C.",A3576,https://viaf.org/viaf/4007297
"Cincius Alimentus, L. (Lucius), active 210 B.C.",A3575,https://viaf.org/viaf/47152590
"Antonius, Marcus, 83 B.C.?-30 B.C.",A3571,https://viaf.org/viaf/88759462
"Caelius Rufus, Marcus",A3577,https://viaf.org/viaf/79039130
"Brutus, Marcus Junius, 85 B.C.?-42 B.C.",A3563,https://viaf.org/viaf/63975332
"Verrius Flaccus, Marcus",A3559,https://viaf.org/viaf/57410497
"Parthenius, of Constantinople",A3547,https://viaf.org/viaf/7728169
"Metellus Macedonicus, Q. Caecilius (Quintus Caecilius), approximately 188 B.C.-115 B.C.",A3556,https://viaf.org/viaf/9736496
"Julius Modestus, active 1st century",A3564,https://viaf.org/viaf/14663314
"Carbo, C. Papirius, approximately 164 B.C.-119 B.C.",A3560,https://viaf.org/viaf/26954460
Aristotle,A3548,https://viaf.org/viaf/7524651
"Bergk, Theodor, 1812-1881",A3537,https://viaf.org/viaf/7517264
"Blass, Friedrich, 1843-1907",A3545,https://viaf.org/viaf/24690108
"Dietsch, Heinrich Rudolf, 1814-1875",A3541,https://viaf.org/viaf/15511621
"Estienne, Robert, 1503?-1559",A3558,https://viaf.org/viaf/51914
"Eussner, Adam, 1844-",A3528,https://viaf.org/viaf/59474462
Dorcatius,A3567,https://viaf.org/viaf/56500964
"Gallus, C. Asinius (Caius Asinius), 41 B.C.-33 A.D.",A3566,https://viaf.org/viaf/7775078
"Laelius, C., Sapiens, approximately 190 B.C.-approximately 128 B.C.",A3589,https://viaf.org/viaf/68820410
"Mucianus, C. Licinius, active 52-77",A3596,https://viaf.org/viaf/49119062
"Glaucia, C. Servilius, -100 B.C.",A3593,https://viaf.org/viaf/68822853
Gavius Bassus,A3590,https://viaf.org/viaf/12196280
"Scrofa, Cn. Tremellius, active 1st century B.C.",A3572,https://viaf.org/viaf/46656393
"Nero, Emperor of Rome, 37-68",A3587,https://viaf.org/viaf/84036175
"Atherianus, Julius",A3594,https://viaf.org/viaf/24492358
"Lucilius Iunior, active 4-64",A3592,https://viaf.org/viaf/34609433
"Marcius Philippus, L. (Lucius), approximately 136 B.C.-approximately 76 B.C.",A3591,https://viaf.org/viaf/66359745
"Manilius, Lucius",A3588,https://viaf.org/viaf/2858115
"Labeo, Marcus Antistius, approximately 48 B.C.-approximately 22 A.D.",A3595,https://viaf.org/viaf/283545196
"Tiro, M. Tullius (Marcus Tullius), 104 B.C. or 103 B.C.-",A3550,https://viaf.org/viaf/49118817
"Valerius, L., active 53 B.C.",A3584,https://viaf.org/viaf/68822352
"Metellus, Quintus Caecilius, active 216 B.C.-179 B.C.",A3554,https://viaf.org/viaf/2359574
"Torresanus, Andreas, de Asula, 1451-1529",A3551,
"Hermeros, Claudius",A3555,https://viaf.org/viaf/100189931
Donatianus,A3553,https://viaf.org/viaf/20069226
"Epaphroditus, of Chaeronea",A3562,https://viaf.org/viaf/266259865
"Turranius Niger, active 1st century B.C.",A3612,https://viaf.org/viaf/71284088
"Scaevus Memor, active 1st century",A3617,https://viaf.org/viaf/73748208
"Hortensius Hortalus, Q. (Quintus)",A3614,https://viaf.org/viaf/32386508
"Scipio Aemilianus, P. Cornelius (Publius Cornelius), Africanus minor, 185 B.C. or 184 B.C.-129 B.C.",A3615,https://viaf.org/viaf/34348174
"Silanus, D. Junius, active 146 B.C.",A3605,https://viaf.org/viaf/54042073
"Gallus, C. Aelius, active 1st century B.C.?",A3602,https://viaf.org/viaf/24494242
"Piso, Gaius Calpurnius, -65",A3601,https://viaf.org/viaf/52081019
"Clodius Licinus, C., active 1st century B.C.-1st century A.D.",A3603,https://viaf.org/viaf/34348427
"Curio, C. Scribonius, active 121 B.C.",A3578,https://viaf.org/viaf/71783480
"Titius, C. (Caius), active 2nd century B.C.",A3600,https://viaf.org/viaf/54040274
"Valgius Rufus, C.",A3581,https://viaf.org/viaf/19568488
"Marcius, Cn., vates",A3597,https://viaf.org/viaf/39766935
"Granius Flaccus, active 1st century B.C.",A3579,https://viaf.org/viaf/58974117
"Cassius Longinus, L. (Lucius), active 54 B.C.-41 B.C.",A3599,https://viaf.org/viaf/2359143
"Caesar, L. Julius (Lucius Julius), active 90 B.C.-43 B.C.",A3582,https://viaf.org/viaf/76209013
"Neratius Priscus, Lucius",A3598,https://viaf.org/viaf/74649391
"Lepidus Porcina, M. Aemilius (Marcus Aemilius), active 137 B.C.-125 B.C.",A3580,https://viaf.org/viaf/73745639
"Duronius, M., active 97 B.C.",A3586,https://viaf.org/viaf/76206999
"Buecheler, Franz, 1837-1908",A3585,https://viaf.org/viaf/167424
Dioscorides Latinus,A3583,https://viaf.org/viaf/78822798
"Caesellius Vindex, Lucius, active 2nd century",A3629,https://viaf.org/viaf/9738677
"Lentulus Marcellinus, Cn. Cornelius, active 84 B.C.-56 B.C.",A3627,https://viaf.org/viaf/17113950
"Severus, Cornelius",A3619,https://viaf.org/viaf/35267067
"Annius Luscus, T., active 156 B.C.-133 B.C.",A3630,https://viaf.org/viaf/29920309
"Dolabella, Publius Cornelius, approximately 80 B.C.-43 B.C.",A3611,https://viaf.org/viaf/48291333
Philumenus,A3618,https://viaf.org/viaf/263448851
"Fenestella, active 1st century B.C.-1st century A.D.",A3621,https://viaf.org/viaf/16146217709309140480
"Aquilius Gallus, C. (Caius), active 1st century B.C.",A3604,https://viaf.org/viaf/26957047
"Cotta, C. Aurelius, approximately 124 B.C.-63 B.C.",A3620,https://viaf.org/viaf/36808783
"Erucius, C., active 80 B.C.",A3608,https://viaf.org/viaf/71281828
"Gracchus, Gaius Sempronius, 154 B.C.-121 B.C.",A3616,https://viaf.org/viaf/75178071
"Gallus Antipater, active 268-306",A3609,https://viaf.org/viaf/17114695
"Helvius Mancia, active 97 B.C.-87 B.C.",A3606,https://viaf.org/viaf/26954833
"Laelius Felix, active 2nd century",A3613,https://viaf.org/viaf/44191865
"Crassus, L. Licinius (Lucius Licinius), 140 B.C.-91 B.C.",A3610,https://viaf.org/viaf/24491444
"Messalla Corvinus, Marcus Valerius, 64 B.C.-approximately 8 A.D.",A3607,https://viaf.org/viaf/84190722
"Calidius, M. (Marcus), active 64 B.C.-49 B.C.",A3623,https://viaf.org/viaf/56501336
"Cremutius Cordus, A. (Aulus), -25",A3632,https://viaf.org/viaf/121779545
"Bruttedius Niger, approximately 6 B.C.-31 A.D.",A3641,https://viaf.org/viaf/317282551
"Lentulus Gaetulicus, Cn. Cornelius (Cneius Cornelius), -39",A3638,https://viaf.org/viaf/14660104
"Vibius Crispus, Q. (Quintus), approximately 12-approximately 93",A3633,https://viaf.org/viaf/61439056
Vagellius,A3642,https://viaf.org/viaf/32386857
Turnus,A3645,https://viaf.org/viaf/29424662
"Paconianus, Sex. (Sextus), -35",A3651,https://viaf.org/viaf/51580680
Septimius Serenus,A3636,https://viaf.org/viaf/39267640
Sabidius,A3649,https://viaf.org/viaf/78670149
"Caepio, Q. Servilius (Quintus Servilius), active 100 B.C.-90 B.C.",A3634,https://viaf.org/viaf/59475691
"Palaemon, Q. Rhemnius Fannius (Quintus Rhemnius Fannius)",A3643,https://viaf.org/viaf/5068625
"Pupius, active 1st century B.C.",A3646,https://viaf.org/viaf/14660073
"Pomponius Secundus, P. (Publius), active 1st century",A3631,https://viaf.org/viaf/56960115
"Namusa, P. Aufidius, active 1st century B.C.",A3637,https://viaf.org/viaf/17115743
"Paulus, Quaestor",A3650,https://viaf.org/viaf/22033030
"Scipio Nasica Serapio, P. Cornelius (Publius Cornelius), -132 B.C.",A3635,https://viaf.org/viaf/7282122
"Scipio, Africanus, approximately 236 B.C.-183 B.C.",A3644,https://viaf.org/viaf/316749695
"Cincinnatus, Lucius Quinctius, approximately 529 B.C.-approximately 430 B.C.",A3647,https://viaf.org/viaf/38733419
"Curio, C. Scribonius, approximately 125 B.C.-53 B.C.",A3624,https://viaf.org/viaf/29424997
"Symmachus, L. Aurelius Avianus, -approximately 376",A3622,https://viaf.org/viaf/4820305
"Peutinger, Konrad, 1465-1546 or 1547",A3671,http://viaf.org/viaf/56776766
"Leland, John, 1506?-1552",A3668,http://viaf.org/viaf/14849374
"Paracelsus, 1493-1541",A3665,http://viaf.org/viaf/12313247
"Agricola, Georg, 1494-1555",A3675,http://viaf.org/viaf/100164815
"Mandeville, John, Sir",A3672,http://viaf.org/viaf/66561327
"Gobi, Jean, active 1323-1350",A3669,http://viaf.org/viaf/88046884
"John, of Reading, -1346",A3666,http://viaf.org/viaf/87909348
"Pascal, Blaise, 1623-1662",A3673,https://viaf.org/viaf/29538862
Ephraem Edessensis,A3670,
Alfius Avitus,A3667,https://viaf.org/viaf/76206416
"Aufustius, active 1st century B.C.",A3674,https://viaf.org/viaf/34348190
"Cascellius, A., active 1st century B.C.",A3657,https://viaf.org/viaf/2857654
"Clodius Tuscus, active 1st century B.C.-1st century A.D.",A3653,https://viaf.org/viaf/73746221
Cornificius Gallus,A3648,https://viaf.org/viaf/71281262
"Labienus, -45 B.C.",A3654,https://viaf.org/viaf/6636814
Tarquitius Priscus,A3639,https://viaf.org/viaf/63900843
"Saturius, P., active 74 B.C.",A3655,https://viaf.org/viaf/63899253
"Scaevola, Publius Mucius",A3640,https://viaf.org/viaf/77648577
"Clodius, Publius, approximately 93 B.C.-52 B.C.",A3652,https://viaf.org/viaf/89741484
"Varius Rufus, Lucius",A3656,https://viaf.org/viaf/2408150033030211180007
"Telesio, Antonio, 1482-1533?",A3685,http://viaf.org/viaf/69815500
"Herberstein, Sigmund, Freiherr von, 1486-1566",A3691,http://viaf.org/viaf/54418011
"Sturm, Johannes, 1507-1589",A3688,http://viaf.org/viaf/19692723
"Malverne, John, -1415?",A3682,http://viaf.org/viaf/68566938
"Muris, Johannes de, approximately 1300-approximately 1350",A3681,http://viaf.org/viaf/200674181
"John, of Rodington, approximately 1290-1348?",A3676,http://viaf.org/viaf/78823325
"Rous, John, 1411?-1491",A3717,http://viaf.org/viaf/67768606
"John, de Sautre, active 1285-1316",A3683,http://viaf.org/viaf/71829283
Annianus,A3677,https://viaf.org/viaf/61435650
"Aufidius Bassus, active 1st century",A3684,https://viaf.org/viaf/22034436
"Cloatius Verus, active 1st century B.C.-1st century A.D.",A3680,https://viaf.org/viaf/71282345
"Caelius Sabinus, Cn. Arulenus, active 1st century",A3663,https://viaf.org/viaf/51583204
"Cornificius Longus, active 44 B.C.",A3658,https://viaf.org/viaf/51581613
"Pomponius, Sextus, active 2nd century",A3678,https://viaf.org/viaf/67261809
"Sulpicius Rufus, Servius, -43 B.C.",A3661,https://viaf.org/viaf/10638837
Rabirius,A3659,https://viaf.org/viaf/22032981
"Cominius, P., -45 B.C.",A3679,https://viaf.org/viaf/4820643
"Cannutius, P., 106 B.C.-",A3662,https://viaf.org/viaf/71783405
"Passienus Crispus, -48",A3660,https://viaf.org/viaf/12693974
"Manilius, M'. (Manius), active 2nd century B.C.",A3664,https://viaf.org/viaf/114145542622396641854
"Irlande, John, active 1455-1490",A3708,http://viaf.org/viaf/79068392
"Bovillus, Carolus, 1479-1567",A3712,http://viaf.org/viaf/100171875
"Longland, John, 1473-1547",A3709,http://viaf.org/viaf/65200907
"Ignatius, of Loyola, Saint, 1491-1556",A3716,http://viaf.org/viaf/88881025
"Major, John, 1469-1550",A3697,http://viaf.org/viaf/99949266
"Milis, Joannes Nicolaus, active 15th century",A3713,http://viaf.org/viaf/78823466
"Mirk, John, active 1403?",A3686,http://viaf.org/viaf/10428840
"Morton, John, 1420?-1500",A3695,http://viaf.org/viaf/79251628
"Nagonius, Johannes Michael, approximately 1450-approximately 1510",A3710,http://viaf.org/viaf/293897917
"Purvey, John, 1353?-1428?",A3692,http://viaf.org/viaf/5300321
"Russell, John, -1494",A3689,http://viaf.org/viaf/56480917
"Pufendorf, Samuel, Freiherr von, 1632-1694",A3714,https://viaf.org/viaf/99029785
"Leibniz, Gottfried Wilhelm, Freiherr von, 1646-1716",A3687,https://viaf.org/viaf/9849392
"Thomasius, Christian, 1655-1728",A3696,https://viaf.org/viaf/61657051
"Müller, Johann Joachim 1661-1733",A3704,https://viaf.org/viaf/5778804
Ablabius,A3711,https://viaf.org/viaf/46652645
Aemilius Sura,A3693,https://viaf.org/viaf/24492327
Arbonius Silo,A3690,https://viaf.org/viaf/4820276
"Caecina, A. (Aulus)",A3715,https://viaf.org/viaf/26059568
"Joannes, Glastoniensis",A3730,http://viaf.org/viaf/197450766
"Cameron, John, 1579?-1625",A3731,http://viaf.org/viaf/47555859
"John, Canonicus, active 14th century",A3706,http://viaf.org/viaf/78778387
"Carpenter, John, 1370?-1441?",A3727,http://viaf.org/viaf/53107066
"Constable, John, epigrammatist",A3726,http://viaf.org/viaf/232078966
"Dunstable, John, approximately 1390-1453",A3732,http://viaf.org/viaf/12491221/
"Ferrerio, Giovanni, 1502-1579",A3707,http://viaf.org/viaf/88349636
"Flete, John, approximately 1398-1466",A3737,http://viaf.org/viaf/238924095
"Fordun, John of, -1384?",A3728,http://viaf.org/viaf/78774389
"Grandison, John, 1292?-1369",A3705,http://viaf.org/viaf/16904434/
"John, of Holland",A3751,http://viaf.org/viaf/17653671
"Lathbury, John",A3703,http://viaf.org/viaf/54497277
"Scaligero, Giulio Cesare",A3719,http://viaf.org/viaf/61567549
"Trotzendorf, Valentin, 1490-1556",A3700,http://viaf.org/viaf/59932832
"Norton, John, -1521 or 1522",A3720,http://viaf.org/viaf/32150083757314941835
"Rede, John, -1587",A3701,http://viaf.org/viaf/17164062
"Sacro Bosco, Johannes de, active 1230",A3698,http://viaf.org/viaf/78777284
"Aemilius Asper, active 2nd century",A3721,https://viaf.org/viaf/398400
Albinovanus Pedo,A3702,https://viaf.org/viaf/231971790
"Panurgus, Antonius",A3718,https://viaf.org/viaf/78670022
"Labeo, Attius, active 1st century",A3699,https://viaf.org/viaf/68819768
"Hothby, John, approximately 1430-1487",A3733,http://viaf.org/viaf/310510836
"Venator, Johannes, active 1373-1414",A3725,http://viaf.org/viaf/22309840
"Gerson, Jean, 1363-1429",A3738,http://viaf.org/viaf/100160310
"Maciej, z Miechowa, 1457?-1523",A3729,http://viaf.org/viaf/7515044
"Langton, John, active 1389-1392",A3736,http://viaf.org/viaf/46500618
"Tarillon, François, 1666-1735",A3766,http://viaf.org/viaf/64297283
"Willes, Richard, active 1558-1573",A3734,http://viaf.org/viaf/242805435
"Zanchi, Basilio, 1501-approximately 1558",A3740,http://viaf.org/viaf/76307217
"Zovitius, Jakob, 1512-",A3749,http://viaf.org/viaf/296546670
"Capgrave, John, 1393-1464",A3745,http://viaf.org/viaf/27079079
"Clyn, John, active 1333-1349",A3723,http://viaf.org/viaf/37305404
"Sobrinho, João, -1486",A3742,http://viaf.org/viaf/8931995
"John, of Cornwall",A3722,http://viaf.org/viaf/314827850
"Dedecus, John",A3741,http://viaf.org/viaf/37265443
"John, Abbot of Ford",A3746,http://viaf.org/viaf/100163129
"Fordham, John, Bishop of Ely, -1435",A3724,http://viaf.org/viaf/9560919
"Fortescue, John, Sir, 1394?-1476?",A3743,http://viaf.org/viaf/288249905
"Frodobert, of Troyes, Saint",A3735,
"John, of Wales, active 13th century",A3739,http://viaf.org/viaf/316874550
"John, of Hexham, active 1180",A3744,http://viaf.org/viaf/19196089
"Baconthorpe, John, -1346",A3756,http://viaf.org/viaf/32388870
"Souciet, E. (Étienne), 1671-1744",A3797,http://viaf.org/viaf/41849311
"Bale, John, 1495-1563",A3774,http://viaf.org/viaf/59101333
"Sperulo, Francesco, active 15th-16th century",A3754,http://viaf.org/viaf/74144648343480572118
"Stockwood, John, -1610",A3760,http://viaf.org/viaf/24950108
"Strozzi, Tito Vespasiano, 1425?-1505",A3775,http://viaf.org/viaf/66573565
"Barton, Johan, active 15th century",A3757,http://viaf.org/viaf/564150032975511180005
"Teive, Diogo de, 1513 or 1514-approximately 1565",A3772,http://viaf.org/viaf/39482481
"Breton, John le, -1275",A3770,http://viaf.org/viaf/312646159
"Bromyarde, John de",A3776,http://viaf.org/viaf/100370763
"Vaughan, William, 1577-1641",A3755,http://viaf.org/viaf/53164138
"Borough, John, -1386",A3764,http://viaf.org/viaf/17094049
"Verardi, Carlo, 1440-1500",A3773,http://viaf.org/viaf/19725058
"Vergerio, Pietro Paolo, 1370-1444",A3753,http://viaf.org/viaf/51846674
"Vossius, Gerardus Joannes, 1577-1649",A3771,http://viaf.org/viaf/7415128
"Watson, Thomas, 1557?-1592",A3777,http://viaf.org/viaf/61592926
"John, de Seccheville, active 13th century",A3750,http://viaf.org/viaf/230874916
"De Foxton, John",A3752,http://viaf.org/viaf/59110123
"Gigli, Giovanni, -1498",A3748,http://viaf.org/viaf/29372723
"Hus, Jan, 1369?-1415",A3747,http://viaf.org/viaf/165278112
"Sigonio, Carlo, 1524?-1584",A3778,http://viaf.org/viaf/79727
"Soter, Johannes, -1543",A3787,http://viaf.org/viaf/44108101
"Bado Aureo, Johannes de",A3768,http://viaf.org/viaf/60506408
"Speroni, Sperone, 1500-1588",A3784,http://viaf.org/viaf/17232330
"Stanyhurst, Richard, 1547-1618",A3763,http://viaf.org/viaf/67392027
"Stay, Benedetto, 1714-1801",A3792,http://viaf.org/viaf/353621
"Stella, Giulio Cesare, 1564-approximately 1624",A3779,http://viaf.org/viaf/66810606
"Stiblin, Caspar",A3788,http://viaf.org/viaf/32802797
"Strada, Famiano, 1572-1649",A3769,http://viaf.org/viaf/12420244
"Tasso, Torquato, 1544-1595",A3795,http://viaf.org/viaf/4936996
"Traversari, Ambrogio, 1386-1439",A3791,http://viaf.org/viaf/29617842
"Tribraco, Gaspare, 1439-approximately 1493",A3761,http://viaf.org/viaf/77134545
"Trissino, Giovanni Giorgio, 1478-1550",A3793,http://viaf.org/viaf/61576722
"Benet, John (Vicar of Harlington)",A3780,http://viaf.org/viaf/19425440
"Bramis, Joannes",A3758,http://viaf.org/viaf/30558700
"Venegas, Miguel, 1531-",A3796,http://viaf.org/viaf/100012352
"Vergil, Polydore, 1470?-1555",A3762,http://viaf.org/viaf/89468390
"Verino, Michele",A3794,http://viaf.org/viaf/33059916
"Villerías y Roelas, José Antonio de, 1695-1728",A3781,http://viaf.org/viaf/34329810
"Vitalis, Janus, 1490?-1560?",A3759,http://viaf.org/viaf/89522903
"Prasch, Johann Ludwig, 1637-1690",A3816,http://viaf.org/viaf/32338191
"Quillet, Claude, 1602-1661",A3813,http://viaf.org/viaf/42775199
"Reuchlin, Johann, 1455-1522",A3809,http://viaf.org/viaf/66542815
"Rococciolo, Francesco, approximately 1470-1528",A3812,http://viaf.org/viaf/84587853
"Erythraeus, Janus Nicius, 1577-1647",A3807,http://viaf.org/viaf/49230904
"Sabinus, Angelus, active 15th century",A3837,http://viaf.org/viaf/95306464
"Jerome, of Moravia, active 1272-1304",A3814,http://viaf.org/viaf/95188649
"Marineo, Lucio",A3811,http://viaf.org/viaf/34585300
"Arderne, John, active 1307-1370",A3801,http://viaf.org/viaf/79259206
"Stefonio, Bernardino, 1560-1620",A3802,http://viaf.org/viaf/24736098
"Stradling, John, Sir, 1563-1637",A3798,http://viaf.org/viaf/44651439
"Baret, John, -1580?",A3785,http://viaf.org/viaf/291269266
"Tesauro, Emanuele, conte, 1592-1675",A3782,http://viaf.org/viaf/100214114
"Beleth, Jean, -1182",A3803,http://viaf.org/viaf/24637109
"Blund, John, approximately 1185-1248",A3789,http://viaf.org/viaf/305133906
"John, of Bridlington, Saint, -1379",A3799,http://viaf.org/viaf/61943925
"Valla, Lorenzo, 1407-1457",A3786,http://viaf.org/viaf/29541502
"Verardus, Marcellinus",A3783,http://viaf.org/viaf/25422010
"Viperano, Giovanni Antonio, 1535-1610",A3790,http://viaf.org/viaf/100214318
"Ware, James, Sir, 1594-1666",A3800,http://viaf.org/viaf/37790832
"Plante, Franciscus, 1613-1690",A3820,http://viaf.org/viaf/47694224
"Platina, 1421-1481",A3806,http://viaf.org/viaf/99950542
"Puscolo, Ubertino, 1431-1488",A3805,http://viaf.org/viaf/89370852
"Quarles, Francis, 1592-1644",A3841,http://viaf.org/viaf/38546
"Rapin, René, 1621-1687",A3823,http://viaf.org/viaf/46961
"Reusner, Nikolaus, 1545-1602",A3830,http://viaf.org/viaf/66805871
"Ronsard, Pierre de, 1524-1585",A3821,http://viaf.org/viaf/61551687
"Royen, Adrianus van, 1704-1779",A3836,http://viaf.org/viaf/7734115
"Rutgers, Johannes, 1589-1625",A3817,http://viaf.org/viaf/122020529
"Salutati, Coluccio, 1331-1406",A3818,http://viaf.org/viaf/61554735
"Sarbiewski, Maciej Kazimierz, 1595-1640",A3833,http://viaf.org/viaf/36947664
"Jocelin, active 1200",A3824,http://viaf.org/viaf/172179352
"Jocelin, de Brakelond, active 1173-1215",A3810,http://viaf.org/viaf/58169483
"Paulus, Julius",A3822,http://viaf.org/viaf/54944455
"Polycarp, Saint, Bishop of Smyrna",A3808,http://viaf.org/viaf/2475604
Pseudo-Acro,A3838,http://viaf.org/viaf/56720050
"Scholier, Pieter 1582-1635",A3819,http://viaf.org/viaf/309696253
"Sergardi, Lodovico, 1660-1726",A3834,http://viaf.org/viaf/32025502
"Seymour, Margaret, Lady",A3815,http://viaf.org/viaf/12291027
"Verino, Ugolino, 1438-1516",A3804,http://viaf.org/viaf/49402513
"Mambrun, Pierre de, 1601-1661",A3855,http://viaf.org/viaf/62625580
"Dositheus, Magister",A3857,http://viaf.org/viaf/187782399
"Paul, the Apostle, Saint",A3874,http://viaf.org/viaf/100178790
Pseudo-Hegesippus,A3835,http://viaf.org/viaf/39280058
"Pontanus, Jacob, 1542-1626",A3844,http://viaf.org/viaf/352137
"Puttenham, George, -1590",A3832,http://viaf.org/viaf/12653680
"Rigault, Nicolas, 1577-1654",A3839,http://viaf.org/viaf/12339587
"Roulers, Adrien de",A3829,http://viaf.org/viaf/7814388
"Ruggle, George, 1575-1622",A3845,http://viaf.org/viaf/67531261
"Isaac, of Stella, -1169",A3826,http://viaf.org/viaf/90638330
"Jacobus, de Dacia, approximately 1483-1567",A3853,http://viaf.org/viaf/281048739
"Sabinus, Georg, 1508-1560",A3846,http://viaf.org/viaf/771155
"Zsámboki, János, 1531-1584",A3827,http://viaf.org/viaf/61551948
"Yonge, James",A3842,http://viaf.org/viaf/41311182
"Acton, John, -1350",A3831,http://viaf.org/viaf/5357362
"Alcock, John, 1430-1500",A3840,http://viaf.org/viaf/22530601
"Orsisius, Saint",A3848,http://viaf.org/viaf/35251070
"Sautel, Pierre-Juste, 1613-1662",A3847,http://viaf.org/viaf/105145857804623020040
"Schöpper, Jacob, -1554",A3828,http://viaf.org/viaf/122284849
"Siber, Adam, 1515-1583",A3825,http://viaf.org/viaf/69998537
"Manetti, Giannozzo, 1396-1459",A3863,http://viaf.org/viaf/68944891
"Marrasio, Giovanni, approximately 1404-1452",A3860,http://viaf.org/viaf/219661074
"Masen, Jakob, 1606-1681",A3849,http://viaf.org/viaf/10061069
"Massimi, Pacifico, approximately 1400-approximately 1500",A3872,http://viaf.org/viaf/59235606
"Hugh, Candidus, approximately 1095-approximately 1160",A3866,http://viaf.org/viaf/266294583
"Hugh, the Chanter, -1139?",A3895,http://viaf.org/viaf/79080039
"Mercier, Nicolas, -1657",A3864,http://viaf.org/viaf/42182461
"Morhof, Daniel Georg, 1639-1691",A3861,http://viaf.org/viaf/24746228
"Morisot, Claude-Barthélemy, 1592-1661",A3850,http://viaf.org/viaf/5065139
"Muret, Marc-Antoine, 1526-1585",A3873,http://viaf.org/viaf/100191387
"Hugo, de Lawton, active 14th century",A3858,http://viaf.org/viaf/41578183
"Hugh, de Novo Castro, active 1320",A3856,http://viaf.org/viaf/35554
"Nobili, Roberto de' 1577-1656",A3865,http://viaf.org/viaf/47554623
"O'Sullivan-Beare, Philip, 1590?-1660?",A3877,http://viaf.org/viaf/100204267
"Papeus, Petrus, active 16th century",A3862,http://viaf.org/viaf/162965510
"Peiresc, Nicolas Claude Fabri de, 1580-1637",A3851,http://viaf.org/viaf/56614685
"Humphrey, Duke of Gloucester, 1391-1447",A3859,http://viaf.org/viaf/30785585
"Polignac, Melchior de, 1661-1742?",A3852,http://viaf.org/viaf/89067645
"Johannes, de Aquila, -1478",A3854,http://viaf.org/viaf/10203705
"Warwick, Anne Dudley, Countess of, 1538-1587",A3843,http://viaf.org/viaf/305414788
"Henry VIII, King of England, 1491-1547",A3890,http://viaf.org/viaf/172419710
"Bullock, Henry, -1526",A3891,http://viaf.org/viaf/29103155
"Lloyd, John, 1557 or 1558-1603",A3889,http://viaf.org/viaf/17092683
"Maffei, Giovanni Pietro, 1536?-1603",A3869,http://viaf.org/viaf/95224833
"Baptista, Mantuanus, 1448-1516",A3892,http://viaf.org/viaf/27059664
"Marcile, Théodore, 1548-1617",A3875,http://viaf.org/viaf/68966515
"Marot, Clément, 1496-1544",A3885,http://viaf.org/viaf/59086239
"Mencke, Johann Burkhard, 1674-1732",A3888,http://viaf.org/viaf/76466492
"Moor, Robert, 1568-1640",A3876,http://viaf.org/viaf/13551357
"Morata, Olympia Fulvia, 1526-1555",A3886,http://viaf.org/viaf/13107257
"Naldi, Naldo, 1439-approximately 1520",A3867,http://viaf.org/viaf/25329866
"Nannius, Petrus, 1500-1557",A3896,http://viaf.org/viaf/49234456
"Naogeorg, Thomas, 1511-1563",A3870,http://viaf.org/viaf/61559914
"Nifo, Agostino, approximately 1473-1545?",A3881,http://viaf.org/viaf/73879631
"Palingenio Stellato, Marcello, approximately 1500-approximately 1543",A3887,http://viaf.org/viaf/39494118
"Ignatius, Saint, Bishop of Antioch",A3884,http://viaf.org/viaf/267432724
Henricus Francigena,A3868,http://viaf.org/viaf/49615944
"Ulpianus, Domitius",A3897,http://viaf.org/viaf/100210035
"Ingulf, 1030?-1109",A3871,http://viaf.org/viaf/49616203
"Pio, Giovanni Battista, -1540?",A3878,http://viaf.org/viaf/232539066
"Herbert, George, 1593-1633",A3905,http://viaf.org/viaf/71487054
"Ulfilas, Bishop of the Goths",A3916,http://viaf.org/viaf/66477200
"Janicki, Klemens, 1516-1543",A3907,http://viaf.org/viaf/57967892
"Bracton, Henry de, -1268",A3912,http://viaf.org/viaf/47555925
"Henry, of Lexington, -1258",A3917,http://viaf.org/viaf/41365176
"Parker, Henry, -after 1504",A3908,http://viaf.org/viaf/252189087
"Sutton, Henry, -approximately 1581",A3914,http://viaf.org/viaf/56520941
"Lessing, Gotthold Ephraim, 1729-1781",A3929,http://viaf.org/viaf/9849550
"Locher, Jacob, 1471-1528",A3936,http://viaf.org/viaf/22239224
"Lynch, John, approximately 1599-approximately 1673",A3906,http://viaf.org/viaf/41712712
