"author","deterministic_author"
"Faustus, of Riez, active 5th century.","{'authorized_name': 'faustus, of riez', 'author_id': 'A5243'}"
"Ferrari, Giovanni Battista, 1584-1655","{'authorized_name': 'ferrari, giovanni battista, 1584-1655', 'author_id': 'A3953'}"
"Ferrari, Giovanni Battista, 1584-1655.","{'authorized_name': 'ferrari, giovanni battista, 1584-1655', 'author_id': 'A3953'}"
"Ficino, Marsilio, 1433-1499","{'authorized_name': 'ficino, marsilio, 1433-1499', 'author_id': 'A4355'}"
"Ficino, Marsilio, 1433-1499.","{'authorized_name': 'ficino, marsilio, 1433-1499', 'author_id': 'A4355'}"
"Filelfo, Francesco, 1398-1481.","{'authorized_name': 'filelfo, francesco, 1398-1481', 'author_id': 'A3020'}"
"Filopón, Juan.","{'authorized_name': 'philoponus, john, active 6th century', 'author_id': 'A3211'}"
"Firmicus Maternus, Julius.","{'authorized_name': 'firmicus maternus, julius', 'author_id': 'A5524'}"
"Flaminio, Marco Antonio, 1498-1550","{'authorized_name': 'flaminio, marco antonio, 1498-1550', 'author_id': 'A3968'}"
"Flaminio, Marco Antonio, 1498-1550.","{'authorized_name': 'flaminio, marco antonio, 1498-1550', 'author_id': 'A3968'}"
"Florus, Lucius Annaeus","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}"
"Florus, Lucius Annaeus.","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}"
"Foerster, Richard, 1843-1922.","{'authorized_name': 'foerster, richard, 1843-1922', 'author_id': 'A6203'}"
"Foglietta, Uberto, 1518-1581","{'authorized_name': 'foglietta, uberto, 1518-1581', 'author_id': 'A3050'}"
"Foglietta, Uberto, 1518-1581.","{'authorized_name': 'foglietta, uberto, 1518-1581', 'author_id': 'A3050'}"
"Folengo, Teofilo, 1496-1544.","{'authorized_name': 'folengo, teofilo, 1496-1544', 'author_id': 'A5719'}"
"Forcellini, Egidio, 1688-1768","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}"
"Forcellini, Egidio, 1688-1768.","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}"
"Fox Morcillo, Sebastian.","{'authorized_name': 'morcillo, sebastián fox, approximately 1526-approximately 1560', 'author_id': 'A4152'}"
"Fox Morcillo, Sebastián.","{'authorized_name': 'morcillo, sebastián fox, approximately 1526-approximately 1560', 'author_id': 'A4152'}"
"Freinsheim, Johann, 1608-1660.","{'authorized_name': 'freinsheim, johann, 1608-1660', 'author_id': 'A6025'}"
"Friedlaender, Ludwig, 1824-1909","{'authorized_name': 'friedlaender, ludwig, 1824-1909', 'author_id': 'A3546'}"
"Friedlaender, Ludwig, 1824-1909.","{'authorized_name': 'friedlaender, ludwig, 1824-1909', 'author_id': 'A3546'}"
"Frischlin, Nicodemus, 1547-1590","{'authorized_name': 'frischlin, nicodemus, 1547-1590', 'author_id': 'A3959'}"
"Frischlin, Nicodemus, 1547-1590.","{'authorized_name': 'frischlin, nicodemus, 1547-1590', 'author_id': 'A3959'}"
"Gabuccini, Girolamo.","{'authorized_name': 'gabuccini, girolamo, active 16th century', 'author_id': 'A3435'}"
"Gambara, Lorenzo, approximately 1495-1585.","{'authorized_name': 'gambara, lorenzo, approximately 1495-1585', 'author_id': 'A3073'}"
"Gassendi, Pierre, 1592-1655","{'authorized_name': 'gassendi, pierre, 1592-1655', 'author_id': 'A4226'}"
"Gassendi, Pierre, 1592-1655.","{'authorized_name': 'gassendi, pierre, 1592-1655', 'author_id': 'A4226'}"
"Gataker, Thomas, 1574-1654.","{'authorized_name': 'gataker, thomas, 1574-1654', 'author_id': 'A6017'}"
"Gaurico, Pomponio, 1481 or 1482-1528.","{'authorized_name': 'gaurico, pomponio, 1481 or 1482-1528', 'author_id': 'A2947'}"
"Gazēs, Theodōros, approximately 1400-approximately 1475.","{'authorized_name': 'gazēs, theodōros, approximately 1400-approximately 1475', 'author_id': 'A3424'}"
"Gemoll, Wilhelm, 1850-1934.","{'authorized_name': 'gemoll, wilhelm, 1850-1934', 'author_id': 'A5660'}"
"Georgius Trapezuntius","{'authorized_name': 'george, of trebizond, 1396-1486', 'author_id': 'A3280'}"
"Georgius Trapezuntius.","{'authorized_name': 'george, of trebizond, 1396-1486', 'author_id': 'A3280'}"
"Gerson, Jean, 1363-1429","{'authorized_name': 'gerson, jean, 1363-1429', 'author_id': 'A3738'}"
"Gerson, Jean, 1363-1429.","{'authorized_name': 'gerson, jean, 1363-1429', 'author_id': 'A3738'}"
"Giberti, Giovanni Matteo, 1495-1543","{'authorized_name': 'giberti, giovanni matteo, 1495-1543', 'author_id': 'A3969'}"
"Giles, of Rome, Archbishop of Bourges, approximately 1243-1316.","{'authorized_name': 'giles, of rome, archbishop of bourges, approximately 1243-1316', 'author_id': 'A4398'}"
"Gilles, de Corbeil, active 1200","{'authorized_name': 'gilles, de corbeil, active 1200', 'author_id': 'A3919'}"
"Giovanni d'Andrea, approximately 1270-1348.","{'authorized_name': ""giovanni d'andrea, approximately 1270-1348"", 'author_id': 'A4388'}"
"Giraldi, Giglio Gregorio, 1479-1552","{'authorized_name': 'giraldi, lilio gregorio, 1479-1552', 'author_id': 'A3950'}"
"Gneist, Rudolph, 1816-1895,","{'authorized_name': 'gneist, rudolph, 1816-1895', 'author_id': 'A6210'}"
"Gottschalk, of Orbais, approximately 803-approximately 867.","{'authorized_name': 'gottschalk, of orbais, approximately 803-approximately 867', 'author_id': 'A5188'}"
"Graevius, Joannes Georgius, 1632-1703.","{'authorized_name': 'graevius, joannes georgius, 1632-1703', 'author_id': 'A6032'}"
"Grattius, Faliscus.","{'authorized_name': 'grattius, faliscus', 'author_id': 'A4624'}"
"Gregory I, Pope, ca. 540-604.","{'authorized_name': 'gregory i, pope', 'author_id': 'A4981'}"
"Gregory, Bishop of Tours, Saint, 538-594.","{'authorized_name': 'gregory, bishop of tours, saint', 'author_id': 'A5257'}"
"Gregory, Saint, Bishop of Tours, 538-594","{'authorized_name': 'gregory, bishop of tours, saint', 'author_id': 'A5257'}"
"Gretser, Jakob, 1562-1625","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}"
"Gretser, Jakob, 1562-1625.","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}"
"Gronovius, Jacobus, 1645-1716","{'authorized_name': 'gronovius, jacobus, 1645-1716', 'author_id': 'A3314'}"
"Gronovius, Joannes Fredericus, 1611-1671","{'authorized_name': 'gronovius, joannes fredericus, 1611-1671', 'author_id': 'A3995'}"
"Gronovius, Joannes Fredericus, 1611-1671.","{'authorized_name': 'gronovius, joannes fredericus, 1611-1671', 'author_id': 'A3995'}"
"Grotius, Hugo, 1583-1645","{'authorized_name': 'grotius, hugo, 1583-1645', 'author_id': 'A4206'}"
"Grotius, Hugo, 1583-1645.","{'authorized_name': 'grotius, hugo, 1583-1645', 'author_id': 'A4206'}"
"Gruner, Johann Friedrich, 1723-1778.","{'authorized_name': 'gruner, johann friedrich, 1723-1778', 'author_id': 'A6060'}"
"Guarino, Veronese, 1374-1460","{'authorized_name': 'guarino, veronese, 1374-1460', 'author_id': 'A3982'}"
"Guibert de Nogent, 1053-Ca. 1124.","{'authorized_name': 'guibert, abbot of nogent-sous-coucy', 'author_id': 'A5194'}"
"Gundermann, Gotthold, 1856-1921","{'authorized_name': 'gundermann, gotthold, 1856-1921', 'author_id': 'A5665'}"
"Gundermann, Gotthold, 1856-1921.","{'authorized_name': 'gundermann, gotthold, 1856-1921', 'author_id': 'A5665'}"
"Haase, Friedrich, 1808-1867","{'authorized_name': 'haase, friedrich, 1808-1867', 'author_id': 'A3320'}"
"Haase, Friedrich, 1808-1867.","{'authorized_name': 'haase, friedrich, 1808-1867', 'author_id': 'A3320'}"
"Hagen, Hermann, 1844-1898,","{'authorized_name': 'hagen, hermann, 1844-1898', 'author_id': 'A6213'}"
"Hagen, Hermann, 1844-1898.","{'authorized_name': 'hagen, hermann, 1844-1898', 'author_id': 'A6213'}"
"Hanke, Friedrich.","{'authorized_name': 'ranke, friedrich, 1882-1950', 'author_id': 'A6267'}"
"Harvey, William, 1578-1657.","{'authorized_name': 'harvey, william, 1578-1657', 'author_id': 'A4164'}"
"Haupt, Moriz, 1808-1874","{'authorized_name': 'haupt, moriz, 1808-1874', 'author_id': 'A6101'}"
"Haupt, Moriz, 1808-1874.","{'authorized_name': 'haupt, moriz, 1808-1874', 'author_id': 'A6101'}"
"Haymo, Bishop of Halberstadt, -853.","{'authorized_name': 'haymo, bishop of halberstadt, -853', 'author_id': 'A4486'}"
"Heinsius, Daniel, 1580-1655.","{'authorized_name': 'heinsius, daniel, 1580-1655', 'author_id': 'A3951'}"
"Heinsius, Nicolaas, 1620-1681.","{'authorized_name': 'heinsius, nicolaas, 1620-1681', 'author_id': 'A5937'}"
"Herberstein, Sigmund von, 1486-1566.","{'authorized_name': 'herberstein, sigmund, freiherr von, 1486-1566', 'author_id': 'A3691'}"
"Herbert, of Bosham, active 12th century.","{'authorized_name': 'herbert, of bosham, active 12th century', 'author_id': 'A5106'}"
"Hermann, Karl Friedrich, 1804-1855.","{'authorized_name': 'hermann, karl friedrich, 1804-1855', 'author_id': 'A3488'}"
"Hertz, Martin.","{'authorized_name': 'hertz, martin', 'author_id': 'A3478'}"
"Higden, Ranulf, -1364.","{'authorized_name': 'higden, ranulf, -1364', 'author_id': 'A4317'}"
"Hilary, Saint, Bishop of Poitiers, -367?","{'authorized_name': 'hilary, saint, bishop of poitiers, -367?', 'author_id': 'A5124'}"
"Hobbes, Thomas, 1588-1679.","{'authorized_name': 'hobbes, thomas, 1588-1679', 'author_id': 'A4195'}"
"Holder, Alfred, 1840-1916.","{'authorized_name': 'holder, alfred, 1840-1916', 'author_id': 'A3218'}"
"Horace","{'authorized_name': 'horace', 'author_id': 'A4876'}"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}"
"Hortensius, Lambertus, 1500 or 1501-1574.","{'authorized_name': 'hortensius, lambertus, 1500 or 1501-1574', 'author_id': 'A3910'}"
"Hosius, Carl, 1866-1937","{'authorized_name': 'hosius, carl, 1866-1937', 'author_id': 'A3503'}"
"Hotman, François, 1524-1590","{'authorized_name': 'hotman, françois, 1524-1590', 'author_id': 'A5975'}"
"Hotman, François, 1524-1590.","{'authorized_name': 'hotman, françois, 1524-1590', 'author_id': 'A5975'}"
"Hrotsvitha, ca. 935-ca. 975.","{'authorized_name': 'hrotsvitha', 'author_id': 'A5200'}"
"Huet, Pierre-Daniel, 1630-1721.","{'authorized_name': 'huet, pierre-daniel, 1630-1721', 'author_id': 'A3941'}"
"Hugo, Herman, 1588-1629.","{'authorized_name': 'hugo, herman, 1588-1629', 'author_id': 'A3911'}"
"Hume, David, 1560?-1630?","{'authorized_name': 'hume, david, 1560?-1630?', 'author_id': 'A5617'}"
"Hussowski, Mikołaj, approximately 1475-1522","{'authorized_name': 'hussowski, mikołaj, approximately 1475-1522', 'author_id': 'A3924'}"
"Hutten, Ulrich von, 1488-1523.","{'authorized_name': 'hutten, ulrich von, 1488-1523', 'author_id': 'A5581'}"
"Huygens, Christiaan, 1629-1695","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}"
"Huygens, Christiaan, 1629-1695.","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}"
"Hyginus, C. Julius","{'authorized_name': 'hyginus, c. julius', 'author_id': 'A3487'}"
"Hyginus, C. Julius.","{'authorized_name': 'hyginus, c. julius', 'author_id': 'A3487'}"
"Hyginus, Gromaticus,","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}"
"Hyginus, Gromaticus.","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}"
"Ildefonso, Santo, 607-667.","{'authorized_name': 'ildephonsus, saint', 'author_id': 'A5513'}"
"Innocent III, Pope, 1160 or 1161-1216","{'authorized_name': 'innocent iii, pope, 1160 or 1161-1216', 'author_id': 'A3388'}"
"Isidore, of Seville, Saint, d. 636.","{'authorized_name': 'isidore, of seville, saint', 'author_id': 'A5183'}"
"Jacques de Vitry, 1170?-1240.","{'authorized_name': 'jacques, de vitry, 1170-1240', 'author_id': 'A4369'}"
"Jan Van Ruusbroec, 1293?-1381.","{'authorized_name': 'ruusbroec, jan van 1293-1381', 'author_id': 'A4218'}"
"Janus, Secundus, 1511-1536","{'authorized_name': 'janus, secundus', 'author_id': 'A4717'}"
"Janus, Secundus, 1511-1536.","{'authorized_name': 'janus, secundus', 'author_id': 'A4717'}"
"Jerome, Saint, -419 or 420","{'authorized_name': 'jerome, saint, 419 or 420', 'author_id': 'A5096'}"
"Jerome, Saint, -419 or 420.","{'authorized_name': 'jerome, saint, 419 or 420', 'author_id': 'A5096'}"
"Jerome, Saint, d. 419 or 20.","{'authorized_name': 'jerome, saint, 419 or 420', 'author_id': 'A5096'}"
"Jiménez de Rada, Rodrigo, ca. 1170-1247.","{'authorized_name': 'jiménez de rada, rodrigo, approximately 1170-1247', 'author_id': 'A4450'}"
"Joachim, of Fiore, approximately 1132-1202.","{'authorized_name': 'joachim, of fiore, approximately 1132-1202', 'author_id': 'A4727'}"
"Juvenal","{'authorized_name': 'juvenal', 'author_id': 'A5304'}"
"Juvenal.","{'authorized_name': 'juvenal', 'author_id': 'A5304'}"
"Juvenco, Cayo Vecio Aquilino, s. 4.","{'authorized_name': 'juvencus, caius vettius aquilinus', 'author_id': 'A5223'}"
"Keil, Heinrich, 1822-1894","{'authorized_name': 'keil, heinrich, 1822-1894', 'author_id': 'A3509'}"
"Keil, Heinrich, 1822-1894.","{'authorized_name': 'keil, heinrich, 1822-1894', 'author_id': 'A3509'}"
"Keil, Henricus, 1822-1894.","{'authorized_name': 'keil, heinrich, 1822-1894', 'author_id': 'A3509'}"
"Kepler, Johannes, 1571-1630","{'authorized_name': 'kepler, johannes', 'author_id': 'A4709'}"
"Kepler, Johannes, 1571-1630.","{'authorized_name': 'kepler, johannes', 'author_id': 'A4709'}"
"Kircher, Athanasius, 1602-1680","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}"
"Kircher, Athanasius, 1602-1680.","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}"
"Klotz, Reinhold, 1807-1870.","{'authorized_name': 'klotz, reinhold, 1807-1870', 'author_id': 'A3252'}"
"Knollinger, Hermann.","{'authorized_name': 'knoellinger, hermann, 1883-1914', 'author_id': 'A6234'}"
"Krueger, Paul, 1840-1926.","{'authorized_name': 'krueger, paul, 1840-1926', 'author_id': 'A6236'}"
"Köchly, Hermann, 1815-1876.","{'authorized_name': 'köchly, hermann, 1815-1876', 'author_id': 'A3233'}"
"L'Hospital, Michel de, 1507-1573","{'authorized_name': ""l'hospital, michel de, 1507-1573"", 'author_id': 'A3940'}"
"La Rue, Charles de, 1643-1725.","{'authorized_name': 'la rue, charles de', 'author_id': 'A4751'}"
"Lachmann, Karl, 1793-1851","{'authorized_name': 'lachmann, karl, 1793-1851', 'author_id': 'A6090'}"
"Lachmann, Karl, 1793-1851.","{'authorized_name': 'lachmann, karl, 1793-1851', 'author_id': 'A6090'}"
"Laciantius, ca. 240-ca. 320.","{'authorized_name': 'lactantius', 'author_id': 'A5102'}"
"Lapide, Cornelius à (S.I.), 1567-1637.","{'authorized_name': 'lapide, cornelius cornelii a, 1567-1637', 'author_id': 'A3183'}"
"Leibniz, Gottfried Wilhelm, 1646-1716","{'authorized_name': 'leibniz, gottfried wilhelm, freiherr von, 1646-1716', 'author_id': 'A3687'}"
"Leibniz, Gottfried Wilhelm, Freiherr von, 1646-1716","{'authorized_name': 'leibniz, gottfried wilhelm, freiherr von, 1646-1716', 'author_id': 'A3687'}"
"Leibniz, Gottfried Wilhelm, Freiherr von, 1646-1716.","{'authorized_name': 'leibniz, gottfried wilhelm, freiherr von, 1646-1716', 'author_id': 'A3687'}"
"Lessing, Gotthold Ephraim, 1729-1781","{'authorized_name': 'lessing, gotthold ephraim, 1729-1781', 'author_id': 'A3929'}"
"Linacre, Thomas, 1460-1524","{'authorized_name': 'linacre, thomas, 1460-1524', 'author_id': 'A3290'}"
"Linacre, Thomas, 1460-1524.","{'authorized_name': 'linacre, thomas, 1460-1524', 'author_id': 'A3290'}"
"Linné, Carl von, 1707-1778","{'authorized_name': 'linné, carl von, 1707-1778', 'author_id': 'A5601'}"
"Linné, Carl von, 1707-1778.","{'authorized_name': 'linné, carl von, 1707-1778', 'author_id': 'A5601'}"
"Lipsio, Justo, 1547-1606.","{'authorized_name': 'lipsius, justus, 1547-1606', 'author_id': 'A4194'}"
"Lipsius, Justus, 1547-1606","{'authorized_name': 'lipsius, justus, 1547-1606', 'author_id': 'A4194'}"
"Lipsius, Justus, 1547-1606.","{'authorized_name': 'lipsius, justus, 1547-1606', 'author_id': 'A4194'}"
"Lister, Martin, 1638?-1712.","{'authorized_name': 'lister, martin, 1638?-1712', 'author_id': 'A5964'}"
"Livy","{'authorized_name': 'livy', 'author_id': 'A4979'}"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}"
"Llull, Ramon, 1232?-1316","{'authorized_name': 'llull, ramon, 1232?-1316', 'author_id': 'A4362'}"
"Llull, Ramon, 1232?-1316.","{'authorized_name': 'llull, ramon, 1232?-1316', 'author_id': 'A4362'}"
"Longolius, Christophorus, 1488-1522.","{'authorized_name': 'longolius, christophorus, 1488-1522', 'author_id': 'A3945'}"
"Lubin, Eilhard, 1565-1621.","{'authorized_name': 'lubin, eilhard, 1565-1621', 'author_id': 'A3920'}"
"Lucan, 39-65","{'authorized_name': 'lucan', 'author_id': 'A5075'}"
"Lucan, 39-65.","{'authorized_name': 'lucan', 'author_id': 'A5075'}"
"Lucilius, Gaius, approximately 180 B.C.-approximately 102 B.C.","{'authorized_name': 'lucilius, gaius, approximately 180 b.c.-approximately 102 b.c.', 'author_id': 'A4618'}"
"Lucilius, Gaius, ca. 180-ca. 102 B.C.","{'authorized_name': 'lucilius, gaius, approximately 180 b.c.-approximately 102 b.c.', 'author_id': 'A4618'}"
"Lucretius Carus, Titus","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}"
"Lucretius Carus, Titus.","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}"
"Luis de Granada (O.P.) 1504-1588","{'authorized_name': 'luís, de granada, 1504-1588', 'author_id': 'A3975'}"
"Luis de Granada, (O.P.), 1504-1588.","{'authorized_name': 'luís, de granada, 1504-1588', 'author_id': 'A3975'}"
"Luis, de Granada, 1504-1588.","{'authorized_name': 'luís, de granada, 1504-1588', 'author_id': 'A3975'}"
"Luther, Martin, 1483-1546.","{'authorized_name': 'luther, martin', 'author_id': 'A4756'}"
"Macrobius, Ambrosius Aurelius Theodosius","{'authorized_name': 'macrobius, ambrosius aurelius theodosius', 'author_id': 'A5055'}"
"Macrobius, Ambrosius Aurelius Theodosius,","{'authorized_name': 'macrobius, ambrosius aurelius theodosius', 'author_id': 'A5055'}"
"Macrobius, Ambrosius Aurelius Theodosius.","{'authorized_name': 'macrobius, ambrosius aurelius theodosius', 'author_id': 'A5055'}"
"Maffei, Giovanni Pietro 1533-1603.","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}"
"Maffei, Giovanni Pietro, 1533-1603.","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}"
"Maffei, Giovanni Pietro, 1536?-1603.","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}"
"Maittaire, Michael, 1667-1747,","{'authorized_name': 'maittaire, michael, 1667-1747', 'author_id': 'A6042'}"
"Maittaire, Michael, 1667-1747.","{'authorized_name': 'maittaire, michael, 1667-1747', 'author_id': 'A6042'}"
"Major, John, 1469-1550.","{'authorized_name': 'major, john, 1469-1550', 'author_id': 'A3697'}"
"Manilius, Marcus","{'authorized_name': 'manilius, marcus', 'author_id': 'A5565'}"
"Manilius, Marcus.","{'authorized_name': 'manilius, marcus', 'author_id': 'A5565'}"
"Manuzio, Aldo, 1547-1597.","{'authorized_name': 'manuzio, aldo, 1547-1597', 'author_id': 'A4295'}"
"Manuzio, Paolo, 1512-1574","{'authorized_name': 'manuzio, paolo, 1512-1574', 'author_id': 'A3427'}"
"Manuzio, Paolo, 1512-1574.","{'authorized_name': 'manuzio, paolo, 1512-1574', 'author_id': 'A3427'}"
"Marcellus, Empiricus","{'authorized_name': 'marcellus, empiricus', 'author_id': 'A5085'}"
"Marcellus, Empiricus.","{'authorized_name': 'marcellus, empiricus', 'author_id': 'A5085'}"
"Mariana, Juan de, 1536-1624","{'authorized_name': 'mariana, juan de 1536-1624', 'author_id': 'A4135'}"
"Marsilius de Inghen","{'authorized_name': 'marsilius, of inghen, -1396', 'author_id': 'A4300'}"
"Marsilius, of Inghen, -1396.","{'authorized_name': 'marsilius, of inghen, -1396', 'author_id': 'A4300'}"
"Marzio, Galeotto, 1427-1497,","{'authorized_name': 'marzio, galeotto, 1427-1497', 'author_id': 'A2976'}"
"Masen, Jakob (S.I.), 1606-1681.","{'authorized_name': 'masen, jakob, 1606-1681', 'author_id': 'A3849'}"
"Masen, Jakob, 1606-1681.","{'authorized_name': 'masen, jakob, 1606-1681', 'author_id': 'A3849'}"
"Meineke, August, 1790-1870.","{'authorized_name': 'meineke, august, 1790-1870', 'author_id': 'A3492'}"
"Mela, Pomponius","{'authorized_name': 'mela, pomponius', 'author_id': 'A4607'}"
"Mela, Pomponius.","{'authorized_name': 'mela, pomponius', 'author_id': 'A4607'}"
"Merobaudes, Flavius, 5th cent.","{'authorized_name': 'merobaudes, flavius', 'author_id': 'A4965'}"
"Mersenne, Marin, 1588-1648,","{'authorized_name': 'mersenne, marin, 1588-1648', 'author_id': 'A4211'}"
"Mersenne, Marin, 1588-1648.","{'authorized_name': 'mersenne, marin, 1588-1648', 'author_id': 'A4211'}"
"Meurs, Johannes Van, 1579-1639.","{'authorized_name': 'meurs, johannes van, 1579-1639', 'author_id': 'A6019'}"
"Meurs, Johannes van, 1579-1639.","{'authorized_name': 'meurs, johannes van, 1579-1639', 'author_id': 'A6019'}"
"Meursius, Ioannes.","{'authorized_name': 'meurs, johannes van, 1579-1639', 'author_id': 'A6019'}"
"Milton, John, 1608-1674","{'authorized_name': 'milton, john', 'author_id': 'A4771'}"
"Milton, John, 1608-1674,","{'authorized_name': 'milton, john', 'author_id': 'A4771'}"
"Milton, John, 1608-1674.","{'authorized_name': 'milton, john', 'author_id': 'A4771'}"
"Minucio Felix, Marco","{'authorized_name': 'minucius felix, marcus', 'author_id': 'A5123'}"
"Morhof, Daniel Georg, 1639-1691.","{'authorized_name': 'morhof, daniel georg, 1639-1691', 'author_id': 'A3861'}"
"Muret, Marc Antoine.","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}"
"Muret, Marc-Antoine, 1526-1585","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}"
"Muret, Marc-Antoine, 1526-1585.","{'authorized_name': 'muret, marc-antoine, 1526-1585', 'author_id': 'A3873'}"
"Muris, Johannes de, ca. 1300-ca. 1350.","{'authorized_name': 'muris, johannes de, approximately 1300-approximately 1350', 'author_id': 'A3681'}"
"Müller, Lucian, 1836-1898.","{'authorized_name': 'müller, lucian, 1836-1898', 'author_id': 'A3448'}"
"Müller, Lucian, 1836-1898.","{'authorized_name': 'müller, lucian, 1836-1898', 'author_id': 'A3448'}"
"Navagero, Andres, 1483-1529.","{'authorized_name': 'navagero, andrea', 'author_id': 'A4691'}"
"Nebrija, Antonio de, 1444?-1522","{'authorized_name': 'nebrija, antonio de, 1444?-1522', 'author_id': 'A4327'}"
"Nebrija, Antonio de, 1444?-1522.","{'authorized_name': 'nebrija, antonio de, 1444?-1522', 'author_id': 'A4327'}"
"Nennius, active 796","{'authorized_name': 'nennius, active 796', 'author_id': 'A4500'}"
"Nepos, Cornelius","{'authorized_name': 'nepos, cornelius', 'author_id': 'A5005'}"
"Nepos, Cornelius.","{'authorized_name': 'nepos, cornelius', 'author_id': 'A5005'}"
"Némethy, Geza.","{'authorized_name': 'némethy, géza, 1865-1937', 'author_id': 'A6142'}"
"Nicholas, of Cusa, Cardinal, 1401-1464.","{'authorized_name': 'nicholas, of cusa, cardinal, 1401-1464', 'author_id': 'A5712'}"
"Nicolas de Lyre.","{'authorized_name': 'nicholas, of lyra, approximately 1270-1349', 'author_id': 'A4363'}"
"Nicolás de Cusa, 1401-1464.","{'authorized_name': 'nicholas, of cusa, cardinal, 1401-1464', 'author_id': 'A5712'}"
"Nifo, Agostino, approximately 1473-1545?","{'authorized_name': 'nifo, agostino, approximately 1473-1545?', 'author_id': 'A3881'}"
"Nifo, Agostino, approximately 1473-1545?.","{'authorized_name': 'nifo, agostino, approximately 1473-1545?', 'author_id': 'A3881'}"
"Nithard, -844?","{'authorized_name': 'nithard, -844?', 'author_id': 'A5028'}"
"Nithard, -844?.","{'authorized_name': 'nithard, -844?', 'author_id': 'A5028'}"
"Nodell, Jan Adam, -1814.","{'authorized_name': 'nodell, jan adam, ?-1814', 'author_id': 'A6149'}"
"Nogarola, Isotta, 1418-1466.","{'authorized_name': 'nogarola, isotta, 1418-1466', 'author_id': 'A2953'}"
"Novati, Francesco, 1859-1915","{'authorized_name': 'novati, francesco, 1859-1915', 'author_id': 'A5661'}"
"Novati, Francesco, 1859-1915.","{'authorized_name': 'novati, francesco, 1859-1915', 'author_id': 'A5661'}"
"Obsequens, Iulius.","{'authorized_name': 'obsequens, julius', 'author_id': 'A5175'}"
"Ocland, Christopher, -1590?","{'authorized_name': 'ocland, christopher, -1590?', 'author_id': 'A3903'}"
"Oecolampadius, Johann, 1482-1531.","{'authorized_name': 'oecolampadius, johann, 1482-1531', 'author_id': 'A5579'}"
"Orelli, Johann Kaspar von, 1787-1849.","{'authorized_name': 'orelli, johann kaspar von, 1787-1849', 'author_id': 'A5947'}"
"Otto I, Bishop of Freising, -1158.","{'authorized_name': 'otto i, bishop of freising, -1158', 'author_id': 'A5033'}"
"Ovid, 43 B.C.-17 A.D. or 18 A.D","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}"
"Ovid, 43 B.C.-17 A.D. or 18 A.D.","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}"
"Ovid, 43 B.C.-17 A.D. or 18 A.D.,","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}"
"Palingenio Stellato, Marcello, approximately 1500-approximately 1543","{'authorized_name': 'palingenio stellato, marcello, approximately 1500-approximately 1543', 'author_id': 'A3887'}"
"Palingenio Stellato, Marcello, approximately 1500-approximately 1543.","{'authorized_name': 'palingenio stellato, marcello, approximately 1500-approximately 1543', 'author_id': 'A3887'}"
"Paris, Matthew, 1200-1259.","{'authorized_name': 'paris, matthew, 1200-1259', 'author_id': 'A4403'}"
"Passerat, Jean, 1534-1602.","{'authorized_name': 'passerat, jean', 'author_id': 'A4759'}"
"Patrizi, Francesco.","{'authorized_name': 'patrizi, francesco', 'author_id': 'A5555'}"
"Paulinus, of Nola, Saint, approximately 353-431.","{'authorized_name': 'paulinus, of nola, saint, approximately 353-431', 'author_id': 'A4499'}"
"Paulus, Julius.","{'authorized_name': 'paulus, julius', 'author_id': 'A3822'}"
"Peckham, John, -1292.","{'authorized_name': 'peckham, john, -1292', 'author_id': 'A5627'}"
"Peerlkamp, Petrus Hofman, 1786-1865.","{'authorized_name': 'peerlkamp, petrus hofman, 1786-1865', 'author_id': 'A3237'}"
"Persius","{'authorized_name': 'persius', 'author_id': 'A4892'}"
