author,title,matched_title_fuzzy,fuzzy_title_score,correct
Livy.,T. Livi Ab urbe condita librorvm CXLII periochae. Ivlii Ovseqventis ab anno vrbis conditae dv prodigiorvm liber. Recensvit et emendavit Otto Iahn.,ab urbe condita,1,yes
"Lucretius Carus, Titus.","T. Lucretii Cari de rerum natura libri sex ex editioni Gilberti Wakefieldi, cum notis et interpretatione in usum Delphini, variis lectionibus, notis variorum, recensu editionum et codicum, et indice locupletissimo, accurate recensiti.",de rerum natura,1,yes
Livy.,"T. Livii Patavini Historiarum ab urbe condita libri qui supersunt. Mss. codicum collatione recogniti, annotationibusque illustrati.",ab urbe condita,1,yes
Livy.,"Titi Livii Patavini Historiarum ab urbe condita libri qui supersunt, cum omnium epitomis, ac deperditorum fragmentis: ad optimas editiones castigati, accurante Tho. Ruddimanno ...",ab urbe condita,1,yes
"Lucretius Carus, Titus.","T. Lucreti Cari de rerum natura libri sex, ad optimorum exemplarium fidem emendati. Cum Richardi Bentlei animadversionibus, Gilberti Wakefieldi praefationibus et commentariis integris, caeterorumque interpretum, praestantissimorum observationibus selectis, editis suas notas et indices copiosissimos, adiecit Henr. Car. Abr. Eichstädt.",de rerum natura,1,yes
Livy.,"Titi Livi Rerum Romanorum ab urbe condita libri, ad codicum manu scriptorum fidem emendati ab Car. Frid. Sig. Alschefski.",ab urbe condita,1,yes
"Lucretius Carus, Titus",Titi Lucretii Cari De rerum natura libri sex. / Quibus additae sunt conjecturae & emendations Tan. Fabri cum notulis perpetuis. Et praeterea Oberti Gifanii vita Lucretii & de gente Memmia ejusdem prolegomena. Item D. Lambini index perquam necessarius.,de rerum natura,1,yes
Horace.,Q. Orazio Flacco. Le odi (libri III e IV); gli epodi e il carme secolare con commento del dott. Vittorio d'Agostino.,epodi,1,partially
Livy.,"T. Livii Patavini Historiarum ab urbe condita libri, qui supersunt, omnes, cum notis integris Laur. Vallae, M. Ant. Sabellici ... & aliorum: curante Arn. Drakenborch, qui & suas adnotationes adjecit. Accedunt supplementa deperditorum T. Livii librorum a Joh. Freinshemio concinnata ...",ab urbe condita,1,yes
Livy.,"Titi Livii Patavini Historiarum ab urbe condita libri qui supersunt, cum omnium epitomis, ac deperditorum fragmentis: ad optimam editionem celeberrimi Tho. Ruddimanni fideliter expressi.",ab urbe condita,1,yes
"Lucretius Carus, Titus.","T. Lucretii Cari de rerum natura : libri sex, ex editione Gilberti Wakefieldi cum notis et interpretatione in usum Delphini variis lectionibus notis variorum recensu editionum et codicum et indice locupletissimoaccurate recensiti.",de rerum natura,1,yes
Horace.,Gli epodi d'Orazio con introd. e note di Ermengildo Pistelli.,epodi,1,yes
Horace.,"...Gli epodi e il carme secolare per opera de C. Chierichetti e R. Gatti; testo latino, traduzione poetica- traduzione letterale metrica-note.",epodi,1,partially
Livy.,Titi Livii historiarum ab urbe condita liber XXIII et XXIV / recognovit et commentariis scholarum in usum instruxit Ernestus Guilielmus Fabri.,ab urbe condita,1,yes
