Name 1,Candidate Match 1,Match 1 Probability,Candidate Match 2,Match 2 Probability,Candidate Match 3,Match 3 Probability,Candidate Match 4,Match 4 Probability,Candidate Match 5,Match 5 Probability,Candidate Match 6,Match 6 Probability,Candidate Match 7,Match 7 Probability,Candidate Match 8,Match 8 Probability,Candidate Match 9,Match 9 Probability
"Broickwy a Koninckstein, Antonius (O.F.M.), 1470?-1541","Broickwy a Konincksteyn, Antonius, (O.F.M.)",84.5360824742268
"Brulefer, Stephanus (O.F.M.)","Brulefer, Stephanus, (O.F.M.)",98.24561403508771
"Bruno Magdeburgensis, active 1084-","Bruno, of Magdeburg, active 1084",84.84848484848484
"Brusoni, Lucio Domitio","Brusoni, Lucio Domizio",95.45454545454545
Buenaventura de San Agustín (Jer.),"Buenaventura de San Agustín, (Jer.)",98.55072463768117
"Buonamici, Francesco","Buonamici, Francesco, -1604",85.1063829787234
"Burnet, Thomas, 1635-1715","Burnet, Thomas, 1635?-1715",98.0392156862745
"Bustamante de la Camara, Juan","Bustamante de la Cámara, Juan, 16th cent",81.15942028985508
"Buxtorf, Johann, 1564-1629","Buxtorf, Johann, 1599-1664",84.61538461538461
"Caesalpinus, Andreas","Papius, Andreas",80.0
"Caldera de Heredia, Gaspar","Caldera de Heredia, Gaspar, 1591-",88.13559322033898
"Calmet, Augustin (O.S.B.), 1672-1757","Calmet, Augustin, 1672-1757",82.53968253968253
"Calvete de Estrella, Juan Cristóbal, d. 1593","Calvete de Estrella, Juan Cristóbal, -1593",91.95402298850574,"Calvete de Estrella, Juan Cristóbal 1525-1593",86.66666666666667
"Camers, Johannes","Cinnamus, Johannes",82.35294117647058,"Capreolus, Johannes",80.0
"Cano, Melchor (O.P.) 1509-1560","Cano, Melchor (O.P.), 1509-1560",98.36065573770492
"Capasso, Giovanni Battista","Cavoto, Giovanni Battista",86.27450980392157,"Costa, Giovanni Battista",84.0
"Caranza, Alonso","Carranza, Alonso",96.7741935483871
"Carbone, Lodovico","Carboni, Lodovico",94.11764705882352
"Carpenteius, Johannes"
"Carpzov, Johann Gottlob","Carpzov, Johann Gottlob, 1679-1767",80.70175438596492
"Cartagena, Juan de (O.F.M.), 1563-1617","Cartagena, Juan de, (O.F.M.), 1563-1617",98.7012987012987,"Cartagena, Juan de (O.F.M.), 1563-1618",97.36842105263158
"Casal, Gaspar do (O.S.A), 1510-1584","Casal, Gaspar do, (O.S.A.), 1510-1584",97.22222222222221
"Castellion, Sébastien, 1515-1563","Castellion, Sébastien, 1515-1563",95.38461538461537
"Castilla, Diego de (O.C.)","Castilla, Diego de, (O.C.)",98.0392156862745
"Castro, Alfonso de (O.F.M.), 1495-1558","Castro, Alfonso de, 1495-1558",83.5820895522388
"Castro, Alfonso de, 1494 or 1495-1558"
Catholic Church,Catholic Church. Pope,83.33333333333334
"Caussin, Nicolas (S.I.), 1583-1651","Caussin, Nicolas, (S.I.), 1583-1651",98.55072463768117
"Chalkokondyles, Laonikos, ca. 1430-ca. 1490","Chalkokondylēs, Laonikos, ca. 1430-ca. 1490",98.85057471264368
"Choppin, Rene, 1537-1606","Choppin, René, 1537-1606",97.95918367346938,"Choppin, René, 1537-1606",95.83333333333334
"Christ, Johann Friedrich, 1700-1756","Friedrich, Johann Christoph, 1775-1836",84.93150684931507
"Ciampini, Giovanni Giustino, 1633-1698","Ciampini, Giovanni Giusto, 1633-1698",97.2972972972973
"Cinnamus, Ioannes"
"Claro, Giulio 1525-1575","Claro, Giulio, 1525-1575",97.87234042553192
"Clement, Claude, 1594-1642","Clement, Claude, ca. 1594-1642",92.85714285714286
"Clicthove, Josse","Clicthove, Jossé",93.75
"Codinus, George","Codinus, Georgius",87.5,"Conn, George",81.4814814814815
Colegio Menor de Santo Tomás de Aquino (Alcalá de Henares),Colegio de Santo Tomás de Aquino (Alcalá de Henares),94.54545454545455
"Colonia, Dominique de (S.I.), 1660-1741","Colonia, Dominique de, (S.I.), 1660-1741",98.73417721518987,"Colonia, Dominique de, 1660-1741",87.32394366197182
"Comnena, Anna, 1083-","Comnena, Anna, 1083-1148",90.9090909090909,"Comnena, Anna, b. 1083",90.47619047619048
"Contador de Argote, Jeronimo","Contador de Argote, Jeronymo, 1676-1749",80.59701492537313
"Conti, Natale, 1520-1582","Conti, Natale, ca. 1520-ca. 1580",82.14285714285714
"Corradi, Sebastiano, -1556","Corradi, Sebastiano, 1510-1556",92.85714285714286,"Corradi, Sebastiano, d. 1556",92.5925925925926
"Corradini, Pietro Marcellino, 1658-1743","Corradini, Pietro Marcellino, Cardinal, 1658-1743",88.63636363636364
"Covarrubias Leyva, Diego de, 1512-1577","Covarrubias y Leyva, Diego de, 1512-1577",97.43589743589743
"Cressolles, Louis, (S.I.), 1568-1634","Cressolles, Louis, 1568-1634",87.5
"Curtius, Cornelius","Tacticus, Cornelius",81.08108108108108
"Dadin de Hauteserre, Antoine, 1602-1682","Hauteserre, Antoine Dadin de",83.5820895522388
"Daillé, Jean, 1594-1670","Daillé, Jean, 1594-1670",93.61702127659575
"Denis le Chartreux (O. Cart.), 1402-1471","Denis le Chartreux, (O. Cart.), 1402-1471",98.76543209876543
"Denis the Carthusian, 1402-1471","Denis, the Carthusian, 1402-1471",98.41269841269842
"Dobrovský, Josef, 1753-1829","Dobrovský, Josef, 1753-1829",94.54545454545455
"Doneau, Hugues  , 1527-1591","Doneau, Hugues, 1527-1591",94.11764705882352
"Douaren, Francois, 1509-1559","Douaren, François, 1509-1559",98.24561403508771
